state,district,company_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Mahisagar,MAHISAGAR SOLAR ENERGY,mahisagarsolarenergy23@gmail.com,8200154972,2340,677
GUJARAT,Mahisagar,INSTANT TECHNOLOGY,info@instantgroup.live,8200782232,478,138
GUJARAT,Mahisagar,FORTUNE TECHNOLOGIST,fortunetechnologist@gmail.com,9427597246,409,113
GUJARAT,Mahisagar,HITECH SOLAR,jayesh@hitechsolar.in,7600059073,399,108
GUJARAT,Mahisagar,TECHNO POWER,technopower0001@gmail.com,8200360798,259,69
GUJARAT,Mahisagar,AUSTRALIAN PREMIUM SOLAR INDIA PVT LTD,systems@australianpremiumsolar.co.in,7966006600,206,57
GUJARAT,Mahisagar,SOLARATIVE ENERGY SOLUTION,pavan.solarative@gmail.com,9327151411,190,51
GUJARAT,Mahisagar,ARCHER RENEWABLE PRIVATE LIMITED,info@archersolar.in,8000041003,148,44
GUJARAT,Mahisagar,RIGHTWAY ELECTRICALS,rightwayelectricals@gmail.com,9537519905,127,36
GUJARAT,Mahisagar,ELITO ENERGY PRIVATE LIMITED,info@elitoenergy.com,7226024441,118,31
GUJARAT,Mahisagar,SURYASE ENERGY,suryaseenergy@gmail.com,9662047390,86,25
GUJARAT,Mahisagar,SCORP ENERGY PRIVATE LIMITED,mohit@scorpenergy.com,9925345121,105,24
GUJARAT,Mahisagar,OORJA ELECTRIC,oorjaforeveryone@gmail.com,9067598727,89,24
GUJARAT,Mahisagar,PANAROOF ENERGY,panaroofenergy@outlook.com,9428449365,69,20
GUJARAT,Mahisagar,PETLAD SOJITRA TALUKA SAURAURJA UTPADAK SAHKARI MANDALI LIMITED,pssumandali@gmail.com,8140968999,71,19
GUJARAT,Mahisagar,EWC SOLAR PRIVITED LIMITED (FORMERLY KNOWN AS ENERGY POWER SYSTEMS),ewcsolarpvtltd@gmail.com,8141150688,68,19
GUJARAT,Mahisagar,EARTHWAVE TECHNOLOGY PRIVATE LIMITED,EARTHWAVETECHNOLOGY@GMAIL.COM,9426373334,65,19
GUJARAT,Mahisagar,GREEN ENERGY - RAJKOT,greenenergy123@gmail.com,9428010202,71,18
GUJARAT,Mahisagar,SOLARWAVE ENERGY,solarwaveenergy2@gmail.com,7490083005,59,15
GUJARAT,Mahisagar,SHREEJI SOLAR ENERGY SYSTEMS,snpatel2605@gmail.com,9712914272,58,15
GUJARAT,Mahisagar,SIYAVAR ENERGY,SIYAVARENERGY@GMAIL.COM,9773131455,43,13
GUJARAT,Mahisagar,SOHAM SOLAR SOLUTION,sohamsolarsolution@yahoo.com,9601751327,40,12
GUJARAT,Mahisagar,DGR ENERGY PRIVATE LIMITED,dgrenergygroup@gmail.com,8128603082,43,12
GUJARAT,Mahisagar,VEDANTA SOLAR,info.vedantasolar@gmail.com,8140233119,36,11
GUJARAT,Mahisagar,OM ELECTRICALS SERVICES,omelectricals2104@gmail.com,9998004891,52,11
GUJARAT,Mahisagar,CAPTAIN POLYPLAST LIMITED,solar@captainpolyplast.in,9313925889,38,11
GUJARAT,Mahisagar,ALAYNA GREEN ENERGY,taharkhantna@gmail.com,6353439659,45,11
GUJARAT,Mahisagar,EFFORTS SOLAR PRIVATE LIMITED (FORMERLY KNOWN AS EFFORTS ENTERPRISES),admin@effortsgroup.in,9067817117,38,10
GUJARAT,Mahisagar,SOL ENERGY,solenergyn@gmail.com,7621852735,31,9
GUJARAT,Mahisagar,SOLAR ACE,project.solarace@gmail.com,9909037803,27,8
GUJARAT,Mahisagar,SMIT ENGINEERING SOLUTION,smitengineering10@gmail.com,9033381684,30,8
GUJARAT,Mahisagar,SHIVIK ENTERPRISE,shivikenterprise@gmail.com,9512839262,27,8
GUJARAT,Mahisagar,POWER TECH ENERGY SOLUTUIONS,epc@ptes.in,6357502081,29,8
GUJARAT,Mahisagar,RK SUN POWER LLP,rksunpowertrading@gmail.com,9913785000,23,7
GUJARAT,Mahisagar,APS ROOFTOP SOLAR PRIVATE LIMITED,info@apsrooftopsolar.co.in,7966009900,26,7
GUJARAT,Mahisagar,UNITY ENERGY SOLUTION,unityenergysolution@gmail.com,9099094027,21,6
GUJARAT,Mahisagar,SOLARIUM GREEN ENERGY LIMITED,np@solariumenergy.in,9687133338,19,6
GUJARAT,Mahisagar,KSQUARE ENERGY PVT LTD,projects@ksquareenergy.com,9725218150,19,6
GUJARAT,Mahisagar,HARI OM SOLAR ENERGY,prajapativr697@gmail.com,9428490890,20,6
GUJARAT,Mahisagar,H.K ENERGY,hkenergy001@gmail.com,9586401312,22,6
GUJARAT,Mahisagar,GREENBRILLIANCE RENEWABLE ENERGY LLP,jay.patel@gbreenergy.com,9879611302,20,6
GUJARAT,Mahisagar,ANK SOLAR ENERGY,anksolarenergy@gmail.com,9724816510,20,6
GUJARAT,Mahisagar,RADHE ELECTRICAL,radheelectrical24@gmail.com,9601294783,17,5
GUJARAT,Mahisagar,MANYAH ENERGY PVTLTD,manyahenergy@gmail.com,9925065224,17,5
GUJARAT,Mahisagar,L G ELECTRICALS,lgelectricals29@gmail.com,9825949200,19,5
GUJARAT,Mahisagar,KREYA ENTERPRISES,kreyaentp@gmail.com,6359233332,17,5
GUJARAT,Mahisagar,GURUKRUPA SOLAR AND AGRO INDUSTRIES,vishal@vishal-group.com,9328854525,19,5
GUJARAT,Mahisagar,EFARM INTERNATIONAL PRIVATE LIMITED,info@efarmenergy.com,9723610012,16,5
GUJARAT,Mahisagar,URJASTROT PRIVATE LIMITED,urjastrotenterprise@gmail.com,7621010012,14,4
GUJARAT,Mahisagar,SOLAR SMART PVT LTD,solarsmart2021@gmail.com,7284000580,14,4
GUJARAT,Mahisagar,SHREEJI ELECTRICAL - ISANPUR,shreejielec312@yahoo.com,9408197081,15,4
GUJARAT,Mahisagar,JANGID SOLAR ENERGY PVT LTD,info@jsepl.in,6358931609,13,4
GUJARAT,Mahisagar,EUROSOLAR ENERGY INDUSTRIES,modasaeurosolar@gmail.com,9558823245,13,4
GUJARAT,Mahisagar,EMISSIONS FREE WORLD PVT LTD,emissionsfreeworld@gmail.com,8320097477,12,4
GUJARAT,Mahisagar,ASV ENERGY SOLUTIONS,vikas30.asv@gmail.com,7879064335,20,4
GUJARAT,Mahisagar,AILIS ENERGY PRIVATE LIMITED,suryagujarat@ailisenergy.com,8401541048,13,4
GUJARAT,Mahisagar,WATERSUN ELECTRICAL SOLUTIONS PVT LTD,watersunelectrical@gmail.com,7016589864,10,3
GUJARAT,Mahisagar,UVR TECHSOL PRIVATE LIMITED,uvrtechsol@gmail.com,9227106799,9,3
GUJARAT,Mahisagar,SYSTEM LEVEL SOLUTIONS INDIA PVT LTD,sales@getsunsights.com,7486992856,10,3
GUJARAT,Mahisagar,SUNLIGHT SOLAR ENTERPRISE,bhaveshparmar4793@gmail.com,8320866769,13,3
GUJARAT,Mahisagar,SKY SUN ENTERPRISE,skysunenterprise@gmail.com,9408931070,10,3
GUJARAT,Mahisagar,SANELITE SOLAR PVT LTD,bhavesh.modi@sanelitesolar.com,9374021722,9,3
GUJARAT,Mahisagar,RISING ENERGY SOLUTIONS,risingenergy@yahoo.com,7990391839,14,3
GUJARAT,Mahisagar,JANTA RENEWABLE ENRGY,jantarenewableenergy@gmail.com,9898897373,10,3
GUJARAT,Mahisagar,INFRAX RENEWABLE LIMITED,pmsg@infraxrenewable.com,9033260985,12,3
GUJARAT,Mahisagar,AKSHAR ENERGY SOLUTIONS,aksharenergysolutions@gmail.com,9662042835,10,3
GUJARAT,Mahisagar,A S SOLAR ENTERPRISE,assolarenterprise@gmail.com,9510572504,10,3
