state,district,company_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Ahmedabad,SOLARIUM GREEN ENERGY LIMITED,np@solariumenergy.in,9687133338,7736,1941
GUJARAT,Ahmedabad,SOLAR ACE,project.solarace@gmail.com,9909037803,6148,1553
GUJARAT,Ahmedabad,AUSTRALIAN PREMIUM SOLAR INDIA PVT LTD,systems@australianpremiumsolar.co.in,7966006600,4454,1184
GUJARAT,Ahmedabad,KSQUARE ENERGY PVT LTD,projects@ksquareenergy.com,9725218150,3771,959
GUJARAT,Ahmedabad,SURYA SOLAR AND WATERS,rooftop@suryasolarwaters.com,9033266039,3964,951
GUJARAT,Ahmedabad,SANELITE SOLAR PVT LTD,bhavesh.modi@sanelitesolar.com,9374021722,3162,838
GUJARAT,Ahmedabad,YUVAAN ENERGY PRIVATE LIMITED,sales@yuvaanenergy.com,9825045890,3342,779
GUJARAT,Ahmedabad,AMPERE GREEN ENERGY,amperegreenenergy@gmail.com,9033116472,2846,772
GUJARAT,Ahmedabad,SOLIS ENERGY SYSTEM,bhargavpaneliya@solisenergysystem.com,9601270077,2553,771
GUJARAT,Ahmedabad,HITECH SOLAR,jayesh@hitechsolar.in,7600059073,2846,760
GUJARAT,Ahmedabad,JANSA SOLAR SOLUTIONS PVT LTD,jansa@kalptaru.co.in,9998000769,2876,730
GUJARAT,Ahmedabad,GRACE RENEWABLE ENERGY PVT LTD,project1@gracerenew.com,7573027788,3064,717
GUJARAT,Ahmedabad,AILIS ENERGY PRIVATE LIMITED,suryagujarat@ailisenergy.com,8401541048,2873,697
GUJARAT,Ahmedabad,VIDE ENERGY,ankita.videenergy@gmail.com,9712668268,2737,655
GUJARAT,Ahmedabad,SPARCO MULTIPLAST PVT LTD,info@sparcoenergy.com,9409269062,2096,628
GUJARAT,Ahmedabad,SOLARSQUARE ENERGY PRIVATE LIMITED,nationalportal@solarsquare.in,9830003000,2650,627
GUJARAT,Ahmedabad,ZODIAC ENERGY LIMITED,info@zodiacenergy.com,7861852582,2706,626
GUJARAT,Ahmedabad,AHMEDABAD SOLAR,ravichaudhary1403@gmail.com,9512365653,2683,612
GUJARAT,Ahmedabad,RK SUN POWER LLP,rksunpowertrading@gmail.com,9913785000,2484,608
GUJARAT,Ahmedabad,EVERGREEN RENEWABLE TECHNOLOGIES,ashishpanchal888@gmail.com,7359743295,2059,603
GUJARAT,Ahmedabad,ICON ENERGY,info@iconenergy.in,9909999162,2057,602
GUJARAT,Ahmedabad,NEOCENT SOLAR SYSTEM LLP,m.neocent@gmail.com,9974710486,2040,571
GUJARAT,Ahmedabad,IMPERIUM POWERTECH,imperiumtender@gmail.com,9054457166,1894,549
GUJARAT,Ahmedabad,SOLARATIVE ENERGY SOLUTION,pavan.solarative@gmail.com,9327151411,2018,545
GUJARAT,Ahmedabad,SOLAR SUNPOWER,solarsunpower2020@gmail.com,8238835771,1496,465
GUJARAT,Ahmedabad,ASV ENERGY SOLUTIONS,vikas30.asv@gmail.com,7879064335,1695,462
GUJARAT,Ahmedabad,ECOWATT ENERGY,ecowattenergy18@gmail.com,9978638437,1599,459
