state,district,company_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Amreli,SATYAM SALES,kishanagroagencyamreli@gmail.com,9825360183,5418,1601
GUJARAT,Amreli,MANGROLIYA NIKUNJ J.,nikunjmangroliya54@gmail.com,8866685082,3308,1010
GUJARAT,Amreli,GLOBAL SOLAR ENERGY,globalsolar99@gmail.com,8866190358,2902,844
GUJARAT,Amreli,ARKAY ICONIC PRIVATE LIMITED,arkaysolar@gmail.com,8401236600,2448,737
GUJARAT,Amreli,AVIRAT ENERGY PVT LTD,aviratenergy@gmail.com,9697443344,2081,630
GUJARAT,Amreli,BHANU PV SOLAR PVT LTD,bhanupvsolarpvtltd@gmail.com,9510398989,1963,588
GUJARAT,Amreli,SKYVIEW POWER,skyviewpower17@gmail.com,8140055305,1844,557
GUJARAT,Amreli,BHANU ENTERPRISES,akkothari1964@gmail.com,9263635946,1165,358
GUJARAT,Amreli,PATIDAR ENTERPRISE,patidarenterprise13@gmail.com,8980312782,1151,337
GUJARAT,Amreli,KARTAVY AGROTECH,kartavysolar@gmail.com,9426465233,981,292
GUJARAT,Amreli,MADHAV SOLAR ENERGY LIMITED (FORMERLY KNOWN AS MADHAV ENTERPRISE - SURAT),info@madhavsolarenergy.com,8849299212,874,267
GUJARAT,Amreli,BHAGWATI ELECTRICALS,bhagwatielectricals99091@gmail.com,7990883575,829,244
GUJARAT,Amreli,JAI SOMNATH ENTERPRISE,msjaisomnathenterprise@gmail.com,9979990909,797,242
GUJARAT,Amreli,RAJKOT E-BIKES AND SOLAR,rajkotebikesandsolar@gmail.com,8306020890,740,219
GUJARAT,Amreli,ARKAY SOLAR ENERGY LLP,arkaysolar02@gmail.com,9737636600,699,211
GUJARAT,Amreli,SHIV SALES AGENCY,ghadiyabhaisolar08@gmail.com,9428798679,649,195
GUJARAT,Amreli,BRAHMADIP ENTERPRISE,brahmadip.solar@yahoo.com,9427230047,610,184
GUJARAT,Amreli,KOMAL ELECTRIC,chetanramprasadi@gmail.com,9825047503,596,180
GUJARAT,Amreli,BRAHMANI ELECTRICS,brahmanielectrics1987@gmail.com,9429758674,599,177
GUJARAT,Amreli,FERUS ENERGIES CO,info@ferusenergies.com,9913341342,568,168
GUJARAT,Amreli,BNG GREEN ENERGY SOLUTION,bng.greenenergy@gmail.com,9727777171,415,120
GUJARAT,Amreli,YUG SOLAR,yugsolar@gmail.com,6359410052,406,116
GUJARAT,Amreli,RUDRA SOLAR ENERGY,info.rudrasolar@gmail.com,9427903084,383,111
GUJARAT,Amreli,KOSOL ENERGIE PVT. LTD.,bharat@sunray.co.in,8799696356,381,111
GUJARAT,Amreli,HARSIDDHI ENGINEERING WORKS,harsiddiengineering@yahoo.com,9428342940,350,102
GUJARAT,Amreli,PRAYOSHAM SOLAR ENERGY,jayrajp880@gmail.com,9574242883,304,87
GUJARAT,Amreli,POWERSHINE ENERGY,powershineenergy1993@gmail.com,9723096888,281,85
GUJARAT,Amreli,VARDHAN SALES,vardhansolar91@gmail.com,9512020935,258,79
GUJARAT,Amreli,PATEL SOLAR,patelsolarmahuva@gmail.com,9825353092,252,73
GUJARAT,Amreli,HARISH ENGINEERING WORKS,harish.engg91@gmail.com,9428618859,250,73
GUJARAT,Amreli,BESIGNATURE SOLAR ENERGY PVT.LTD,signaturesolar975@gmail.com,7265996001,234,70
GUJARAT,Amreli,AUSTRALIAN PREMIUM SOLAR INDIA PVT LTD,systems@australianpremiumsolar.co.in,7966006600,234,70
GUJARAT,Amreli,EARTHWAVE TECHNOLOGY PRIVATE LIMITED,EARTHWAVETECHNOLOGY@GMAIL.COM,9426373334,220,68
GUJARAT,Amreli,DIGI SOLAR ENERGY,digisolarenergy@gmail.com,9687818686,226,68
GUJARAT,Amreli,INFRAX INTERNATIONAL,info@infraxsolar.com,7778002780,212,63
GUJARAT,Amreli,REDREN ENERGY PVT LTD,rooftop@redren.in,9104591041,194,59
GUJARAT,Amreli,SHREE RADHE ELECTRICALS,shreeradhesolar24@gmail.com,9974842981,197,58
GUJARAT,Amreli,SHREE GOKUL ENTERPRISE,shreegokulenterprise123@gmail.com,8160000871,192,58
GUJARAT,Amreli,TOPCON SOLAR ENERGY,topconsolarenergy@gmail.com,9081773500,189,56
GUJARAT,Amreli,KSQUARE ENERGY PVT LTD,projects@ksquareenergy.com,9725218150,183,55
GUJARAT,Amreli,SHREE RAM SOLAR RAJKOT,vikeshchovatiya@gmail.com,9898921527,177,52
GUJARAT,Amreli,GREEN ENERGY - RAJKOT,greenenergy123@gmail.com,9428010202,175,52
GUJARAT,Amreli,INFINITY SOLAR - RAJKOT,infinitysolar2022@gmail.com,7201070799,167,51
