state,district,company_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Anand,CORWIND RENERGY LLP,corwind.renergy@gmail.com,9428490118,4684,1209
GUJARAT,Anand,PETLAD SOJITRA TALUKA SAURAURJA UTPADAK SAHKARI MANDALI LIMITED,pssumandali@gmail.com,8140968999,4015,1052
GUJARAT,Anand,PRAGATI INDUSTRIES,pragatipv8@gmail.com,9428799552,4151,907
GUJARAT,Anand,SUNFREE ENERGY,sunfreeenergy2017@gmail.com,7600002358,2994,740
GUJARAT,Anand,SURYA URJA SYSTEMS,suryaurjasystems@gmail.com,9824276142,2763,716
GUJARAT,Anand,RK RENEWABLE ENERGY & ENGINEERING WORKS,rkrenewable.engineering2020@gmail.com,9824961523,2310,603
GUJARAT,Anand,URJASTROT PRIVATE LIMITED,urjastrotenterprise@gmail.com,7621010012,1789,487
GUJARAT,Anand,NAVKAR POWER SOLUTIONS,contact@navkarpower.co.in,9879613334,1846,472
GUJARAT,Anand,JANGID SOLAR ENERGY PVT LTD,info@jsepl.in,6358931609,1813,470
GUJARAT,Anand,GREENERGY SOLAR SOLUTIONS,greenergysolarsolutions26@gmail.com,9409215712,1633,411
GUJARAT,Anand,HARI OM SOLAR ENERGY,prajapativr697@gmail.com,9428490890,1437,381
GUJARAT,Anand,PATWA MARKETING,nigam82002@yahoo.co.in,9825622939,1379,360
GUJARAT,Anand,PANCHAMRUT ENTERPRISE,panchamrut2019@gmail.com,7016103662,1373,341
GUJARAT,Anand,ARIS SOLAR,arissolartech@gmail.com,9662336115,1212,284
GUJARAT,Anand,SOLEX ENERGY LIMITED,solexcd@gmail.com,6354605180,894,251
GUJARAT,Anand,RADIANT SUN ENERGY LLP,slesh.patel@gmail.com,8140000257,968,248
GUJARAT,Anand,RAY ENERGY,info.rayenergy@gmail.com,8401481453,994,234
GUJARAT,Anand,FRELIT ENERGY PRIVATE LIMITED,frelitenergy@gmail.com,9512700130,911,233
GUJARAT,Anand,SUNLIGHT SOLAR ENTERPRISE,bhaveshparmar4793@gmail.com,8320866769,847,214
GUJARAT,Anand,KSQUARE ENERGY PVT LTD,projects@ksquareenergy.com,9725218150,785,211
GUJARAT,Anand,SHREEJI SALES - KARAMSAD,shreejisales125@gmail.com,9586548051,714,206
GUJARAT,Anand,HITECH SOLAR,jayesh@hitechsolar.in,7600059073,735,204
GUJARAT,Anand,LIGHTWELL SOLAR,lightwellsolar@gmail.com,9054524293,820,202
GUJARAT,Anand,LUCIDUS ENERGY PRIVATE LIMITED,lucidusenergy21@gmail.com,9327990722,758,182
GUJARAT,Anand,SYSTEM LEVEL SOLUTIONS INDIA PVT LTD,sales@getsunsights.com,7486992856,682,179
GUJARAT,Anand,SOLARIUM GREEN ENERGY LIMITED,np@solariumenergy.in,9687133338,650,164
GUJARAT,Anand,AARISH POWER,harshpatel5268@gmail.com,7600621060,617,160
GUJARAT,Anand,DIVINE ENERGY INC,divinein17@gmail.com,7874391679,575,146
GUJARAT,Anand,VEDANTA SOLAR,info.vedantasolar@gmail.com,8140233119,562,143
GUJARAT,Anand,ALAYNA GREEN ENERGY,taharkhantna@gmail.com,6353439659,623,143
GUJARAT,Anand,AUSTRALIAN PREMIUM SOLAR INDIA PVT LTD,systems@australianpremiumsolar.co.in,7966006600,537,141
GUJARAT,Anand,STARLUMEN ENERGY LLP,sales.starlumen@gmail.com,8758737125,539,137
GUJARAT,Anand,MECPOWER SOLUTIONS LIMITED,tender@mecpower.in,9328911577,509,137
GUJARAT,Anand,SHIVAM PHOTOVOLTICS PVT LTD,tenders@spvpl.com,9426023829,538,134
GUJARAT,Anand,GIMS ENERGY PRIVATE LIMITED (FORMERLY KNOWN AS GUPTA INDUSTRIAL MAINTENANCE SERVICES PVT.LTD),yash@gimsindia.com,9879806111,516,128
GUJARAT,Anand,CRYSTASOL ENERGY SOLUTIONS PRIVATE LIMITED,n.s.pathak18@gmail.com,7069335544,484,125
GUJARAT,Anand,LUCRATIVE ENERGY PRIVATE LIMITED,lucrativein24@gmail.com,9408152427,494,124
GUJARAT,Anand,SHREEJI SOLAR ENERGY SYSTEMS,snpatel2605@gmail.com,9712914272,400,115
GUJARAT,Anand,C J ENTERPRISE,cjenterprise93@gmail.com,9429670026,441,111
GUJARAT,Anand,ZAVICH INFRASTRUCTURE AND POWER PVT LTD,zavichinfra@gmail.com,9106129608,436,110
GUJARAT,Anand,BESIGNATURE SOLAR ENERGY PVT.LTD,signaturesolar975@gmail.com,7265996001,380,108
GUJARAT,Anand,VIRTA ENTERPRISE,INFO.VIRTAENTERPRISE@GMAIL.COM,7698432673,363,103
GUJARAT,Anand,SUNCELL SOLAR LLP,suncellsolarenergy@gmail.com,9512668884,390,102
GUJARAT,Anand,BHANU ENTERPRISES,akkothari1964@gmail.com,9263635946,312,98
GUJARAT,Anand,STEELHACKS INDUSTRIES,unisolsolar2000@yahoo.com,9825049997,319,87
GUJARAT,Anand,HET CONSULTANCY,hetconsultancy01@gmail.com,9586618784,331,82
GUJARAT,Anand,BHANU PV SOLAR PVT LTD,bhanupvsolarpvtltd@gmail.com,9510398989,296,82
GUJARAT,Anand,SOLAR ACE,project.solarace@gmail.com,9909037803,276,76
GUJARAT,Anand,DELICATE SOLAR PRIVATE LIMITED,gabanijemish3@gmail.com,8238340836,267,76
GUJARAT,Anand,VYAS IMPEX,vyasimpex1982@gmail.com,8200849398,276,72
GUJARAT,Anand,SUN SAVER SOLAR,support@sunsaversolar.in,9909908879,263,71
GUJARAT,Anand,SHREEJI ENTERPRISE-SURAT,epc.solar@shreejiconstruction.com,9825108890,254,71
GUJARAT,Anand,D S POWER SOLUTION,vipulas094@gmail.com,9106304356,259,71
GUJARAT,Anand,SURYAKAMAL INFRA PVT.LTD.,sales@suryakamalinfra.com,9727756866,252,66
GUJARAT,Anand,SOLARATIVE ENERGY SOLUTION,pavan.solarative@gmail.com,9327151411,205,56
GUJARAT,Anand,PRATIKSHA ENTERPRISE,pratikshaenterprise1006@gmail.com,8238516417,210,55
GUJARAT,Anand,GREENERA ENERTECH PVT LTD,greenera.solarenergy@gmail.com,9427726620,198,55
GUJARAT,Anand,GENESIS ELECTRICAL,genesiselectricalindia@gmail.com,8200480623,212,55
GUJARAT,Anand,SOLARPLUS ENERGY SOLUTIONS,esolarplus@gmail.com,9327269583,202,54
GUJARAT,Anand,NATIONAL ELECTRICALS AND ELECTRONICS CORPORATION,ashokpatel@neec.in,9429136631,236,53
GUJARAT,Anand,JIGS ELECTRICAL,jigselectrical@gmail.com,9979129392,170,51
GUJARAT,Anand,EARTH SOLAR,earthsollar@gmail.com,9879911777,194,51
GUJARAT,Anand,RG SOLAR SOLUTIONS,info@rgsolarsolutions.com,7718719713,199,50
GUJARAT,Anand,DGR ENERGY PRIVATE LIMITED,dgrenergygroup@gmail.com,8128603082,179,50
GUJARAT,Anand,ASCENT ENERGY,ascentenergys@gmail.com,8799447675,181,50
GUJARAT,Anand,JANTA RENEWABLE ENRGY,jantarenewableenergy@gmail.com,9898897373,173,48
GUJARAT,Anand,EMISSIONS FREE WORLD PVT LTD,emissionsfreeworld@gmail.com,8320097477,186,48
GUJARAT,Anand,SMIT ENGINEERING SOLUTION,smitengineering10@gmail.com,9033381684,176,46
GUJARAT,Anand,GURUKRUPA SOLAR AND AGRO INDUSTRIES,vishal@vishal-group.com,9328854525,179,46
GUJARAT,Anand,PATEL GREEN ENERGY SALES AND SERVICE,patelgreenenergyinfo@gmail.com,9427412983,186,45
GUJARAT,Anand,ZODIAC ENERGY LIMITED,info@zodiacenergy.com,7861852582,166,44
GUJARAT,Anand,UNITY ENERGY SOLUTION,unityenergysolution@gmail.com,9099094027,171,44
GUJARAT,Anand,MNS GLOBAL ENGINEERING AND SERVICES,mnsglobalengineeringservices@gmail.com,9727207075,177,44
GUJARAT,Anand,SOLEX GREEN ENERGY PRIVATE LIMITED,pravin.d@solex.in,9376820081,164,42
GUJARAT,Anand,SIA ENTERPRISE,sia.enterprises19@gmail.com,9327248299,151,42
GUJARAT,Anand,SOLAR SMART PVT LTD,solarsmart2021@gmail.com,7284000580,141,39
GUJARAT,Anand,APS ROOFTOP SOLAR PRIVATE LIMITED,info@apsrooftopsolar.co.in,7966009900,150,39
GUJARAT,Anand,SHREE NARAYAN ENERGY,snesolar@gmail.com,9879179079,152,38
GUJARAT,Anand,SATTVA ENERGIES,sattvaenergies@gmail.com,8401156604,147,38
GUJARAT,Anand,MADHAV ENERGY SOLUTION,info.madhavenergy@gmail.com,9408354018,158,38
GUJARAT,Anand,PROSPER ENTERPRISE,prosperenterprise07@gmail.com,9824420913,135,33
GUJARAT,Anand,GOVARDHAN TRADERS,govardhantraders2512@gmail.com,7600029983,140,33
GUJARAT,Anand,TECHNOGOODS ENTERPRISES,TechnoGoods@outlook.com,9904709693,128,31
GUJARAT,Anand,OCEANIC POWER ENGINEERS PRIVATE LIMITED,oceanicpower.in@gmail.com,7778065600,128,31
GUJARAT,Anand,EFFORTS SOLAR PRIVATE LIMITED (FORMERLY KNOWN AS EFFORTS ENTERPRISES),admin@effortsgroup.in,9067817117,112,30
GUJARAT,Anand,SAUR SOLAR SOLUTION LLP,piyushpatel1974@gmail.com,9909417258,105,29
GUJARAT,Anand,KT SOLAR ENERGY,KTSOLARENERGY14418@GMAIL.COM,9033092122,101,29
GUJARAT,Anand,JALARK SOLAR SOLUTIONS OPC PVT LTD,infojalark@gmail.com,9426661857,120,29
GUJARAT,Anand,AILIS ENERGY PRIVATE LIMITED,suryagujarat@ailisenergy.com,8401541048,111,29
GUJARAT,Anand,SWAMI INTEGRATOR AND CONSULTANTS LLP,sanjib@swamisolar.com,8980800743,91,27
GUJARAT,Anand,SHREEJI ENTERPRISE - MANJALPUR,shreejienergy844@gmail.com,7041803421,98,27
GUJARAT,Anand,MAHISAGAR SOLAR ENERGY,mahisagarsolarenergy23@gmail.com,8200154972,106,27
GUJARAT,Anand,LAKSH POWER TECH,lakshpowertech777@gmail.com,9825692073,93,27
GUJARAT,Anand,HANU ENTERPRISE,hanuenterprise2023@gmail.com,9067322910,110,27
GUJARAT,Anand,SUNSAFE INFRA SERVICES,INFO@SUNSAFE.IN,9033673308,107,26
GUJARAT,Anand,SANELITE SOLAR PVT LTD,bhavesh.modi@sanelitesolar.com,9374021722,94,26
GUJARAT,Anand,GREENBRILLIANCE RENEWABLE ENERGY LLP,jay.patel@gbreenergy.com,9879611302,98,26
GUJARAT,Anand,BHARTI SOLAR,bhartisolar1@gmail.com,8160804583,98,26
GUJARAT,Anand,SWAMI ENERGY,jigar.swamienergy@gmail.com,9725451293,95,25
GUJARAT,Anand,PRINCE ELECTRICAL,princeelectrical20@gmail.com,8866507173,91,25
GUJARAT,Anand,AADHYA SOLAR,jalpam.aadhyasolar@gmail.com,9426624423,105,25
GUJARAT,Anand,SURYA SOLAR AND WATERS,rooftop@suryasolarwaters.com,9033266039,96,24
GUJARAT,Anand,SUNLIGHT ENERGY SOLUTIONS,sunlightenergysolutions01@gmail.com,9824668001,82,21
GUJARAT,Anand,SUCCESS TECHNOCRAT,khatri292@gmail.com,9624001021,69,21
GUJARAT,Anand,PRUTHVIRAJSINH SINDHA,pruthvisindha89@gmail.com,9328106806,73,21
GUJARAT,Anand,EARTH WISE ENERGIES,earthwiseenergies@gmail.com,9033330463,74,21
GUJARAT,Anand,SUNRUN GREEN ENERGY,sunrungreenenergy@gmail.com,6354883949,85,20
GUJARAT,Anand,SHIVHARDHA SHD PROJECTS,shivhardha@gmail.com,9898692603,81,20
GUJARAT,Anand,IMMIX SOLUTION,immixsolution@gmail.com,9265493249,82,19
GUJARAT,Anand,GARUDA POWER,garudapower26@gmail.com,9016555765,72,19
GUJARAT,Anand,FLAME SOLREN PRIVATE LIMITED,operations@flamesolren.com,8849478907,76,19
GUJARAT,Anand,ADITYAURJA,info.adityaurjasolar@gmail.com,7359935517,73,19
GUJARAT,Anand,SOLAR TECH WORLD,support@solartechworld.com,8460728007,67,18
GUJARAT,Anand,LOBEL SOLAR POWER SYSTEM,info@lobelpower.com,9327007854,68,18
GUJARAT,Anand,GREEN WATT SOLAR ENERGY,greenwattsolarenergy2022@gmail.com,9898383910,71,18
GUJARAT,Anand,A S SOLAR ENTERPRISE,assolarenterprise@gmail.com,9510572504,68,18
GUJARAT,Anand,VISHWA SOLAR EXPERT,vishwasolar68@gmail.com,9724968018,63,17
GUJARAT,Anand,SYNCHRO ENERGY,synchroenergy389@gmail.com,9974737316,56,17
GUJARAT,Anand,SHIVA SOLAR ENERGY,admin@shivasolarenergy.com,9624220197,75,17
GUJARAT,Anand,PERFECT RENEWTECH PRIVATE LIMITED,info@perfectrenewtech.com,9965200700,65,17
GUJARAT,Anand,OORJA ELECTRIC,oorjaforeveryone@gmail.com,9067598727,61,17
GUJARAT,Anand,OM ELECTRICALS SERVICES,omelectricals2104@gmail.com,9998004891,69,17
GUJARAT,Anand,MEERA SUN ENERGIES,info@meerasunenergies.com,8200447359,69,17
GUJARAT,Anand,BHASKAR SOLAR ENTERPRISE,info.bhaskarsolar@gmail.com,8980451231,57,17
GUJARAT,Anand,H AND S ENGINEERING,HSENGINEERING9698@GMAIL.COM,8980818699,54,16
GUJARAT,Anand,SOLAR EARTH RENEWABLES PRIVATE LIMITED,ser@solarearth.in,7990378370,52,15
GUJARAT,Anand,VERTEX SOLAR SOLUTIONS PVT LTD,vertexnad@gmail.com,8758614088,60,14
GUJARAT,Anand,SURYASE ENERGY,suryaseenergy@gmail.com,9662047390,53,14
GUJARAT,Anand,SOLAR EXPERT,solarexpert35@gmail.com,9426167233,52,14
GUJARAT,Anand,SHREEJI MARKETING - TALOD,rajuksales@gmail.com,9974612008,52,14
