state,district,company_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Arvalli,EUROSOLAR ENERGY INDUSTRIES,modasaeurosolar@gmail.com,9558823245,1617,451
GUJARAT,Arvalli,RISING ENERGY SOLUTIONS,risingenergy@yahoo.com,7990391839,1024,281
GUJARAT,Arvalli,ZY ENTERPRISE,zyenterprise12@gmail.com,8460313094,1024,270
GUJARAT,Arvalli,SHIV TRADERS,shivtraders7233@gmail.com,9998820863,520,157
GUJARAT,Arvalli,SKY SUN ENTERPRISE,skysunenterprise@gmail.com,9408931070,508,144
GUJARAT,Arvalli,AAMOKSH ELECTRICALS PRIVATE LIMITED,hardik.pandya4166@gmail.com,9998367462,438,121
GUJARAT,Arvalli,SURYASE ENERGY,suryaseenergy@gmail.com,9662047390,356,106
GUJARAT,Arvalli,JAIMAX SUNBIM PVT LTD,jaimaxsunbim@gmail.com,8980024055,356,101
GUJARAT,Arvalli,GAYATRI TRADING,jigneshchopada78@yahoo.in,9687606194,360,97
GUJARAT,Arvalli,KHUSHI IRRIGATION AND SOLAR,khushi.irrigationandsolar@gmail.com,9638370303,311,94
GUJARAT,Arvalli,NEOCENT SOLAR SYSTEM LLP,m.neocent@gmail.com,9974710486,294,87
GUJARAT,Arvalli,SHAKTI ENTERPRISE,shaktienterprise0507@gmail.com,8866124840,315,85
GUJARAT,Arvalli,SHREEJI MARKETING - TALOD,rajuksales@gmail.com,9974612008,314,82
GUJARAT,Arvalli,AUSTRALIAN PREMIUM SOLAR INDIA PVT LTD,systems@australianpremiumsolar.co.in,7966006600,272,79
GUJARAT,Arvalli,RK SUN POWER LLP,rksunpowertrading@gmail.com,9913785000,273,77
GUJARAT,Arvalli,SOHAM SOLAR SOLUTION,sohamsolarsolution@yahoo.com,9601751327,252,72
GUJARAT,Arvalli,GURUKRUPA SOLAR AND AGRO INDUSTRIES,vishal@vishal-group.com,9328854525,215,58
GUJARAT,Arvalli,P.M.BAROT GREEN ENERGY,jaybarotkdbm@gmail.com,9327129667,187,52
GUJARAT,Arvalli,BISON ENGINEERS,bisonengineers19@gmail.com,7573984542,195,51
GUJARAT,Arvalli,KSQUARE ENERGY PVT LTD,projects@ksquareenergy.com,9725218150,159,46
GUJARAT,Arvalli,OMEGA ELECTRICALS,omele452@gmail.com,9979888452,150,42
GUJARAT,Arvalli,EFARM INTERNATIONAL PRIVATE LIMITED,info@efarmenergy.com,9723610012,146,41
GUJARAT,Arvalli,SOLAR ENERGY,solarpioneer19@gmail.com,9033868265,136,40
GUJARAT,Arvalli,SP POWERTECH,sppowertech44@gmail.com,9408129713,118,35
GUJARAT,Arvalli,AVADH ENERGY,AVADHENERGY@GMAIL.COM,9265262773,131,35
GUJARAT,Arvalli,GREEN POWER SOLUTION,darjihardik777@gmail.com,8141216635,119,34
GUJARAT,Arvalli,AUTO FORGE ENGINEERS,autoforge2300@gmail.com,9925237321,118,33
GUJARAT,Arvalli,MADYSON ELECTRICAL,madyson.electrical41@gmail.com,9998864567,105,32
GUJARAT,Arvalli,GREEN SOLAR ENERGY ENTERPRISES,greensolar.ahmedabad@gmail.com,9712909823,110,30
