state,district,company_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Banas Kantha,EFARM INTERNATIONAL PRIVATE LIMITED,info@efarmenergy.com,9723610012,9917,2962
GUJARAT,Banas Kantha,WATERSUN ELECTRICAL SOLUTIONS PVT LTD,watersunelectrical@gmail.com,7016589864,3272,999
GUJARAT,Banas Kantha,SUNTECH ENERGY,sales@suntechenergy.co.in,7383932396,2173,637
GUJARAT,Banas Kantha,SUNPAY RENEWABLE ENERGY LLP,urvesh@sunpays.in,7383171515,2048,604
GUJARAT,Banas Kantha,SHIV ENERGY,shivenergy23@gmail.com,9409142500,1662,519
GUJARAT,Banas Kantha,AHAD ENERGY,info@ahadenergy.in,9737673768,1619,476
GUJARAT,Banas Kantha,ENJOY TECHNOLOGY,care.enjoytechnology@gmail.com,9727718887,1645,475
GUJARAT,Banas Kantha,MADHAV ENTERPRISE,madhavsolarshop@gmail.com,7990485674,1071,315
GUJARAT,Banas Kantha,POWER PLUS,powerplusbhabhar@gmail.com,8128435584,798,292
GUJARAT,Banas Kantha,VIJAY SOLAR ENERGY,vijaysolarenergy940@gmail.com,6351211549,975,285
GUJARAT,Banas Kantha,MAHAVEER ENTRPRISE,me.solarmaster@gmail.com,7878647771,893,275
GUJARAT,Banas Kantha,NIDHI ELECTRICALS,thakkarumang82@gmail.com,9409322020,999,269
GUJARAT,Banas Kantha,BHAVI SOLAR AND ELECTRICALS,chaudharid04@gmail.com,9099754254,915,268
GUJARAT,Banas Kantha,BANAS POWER,banaspower2020@gmail.com,9998418825,737,241
GUJARAT,Banas Kantha,INFRAX INTERNATIONAL,info@infraxsolar.com,7778002780,735,221
GUJARAT,Banas Kantha,RUPABHAI MAGANBHAI PATEL,RMP.GEMPORTAL@GMAIL.COM,9426004861,666,208
GUJARAT,Banas Kantha,AZOLE POWER,azolepower9998@gmail.com,9998743101,699,207
GUJARAT,Banas Kantha,PRAVEG SOLAR,office.praveg@gmail.com,9081714161,670,188
GUJARAT,Banas Kantha,SKY POWER,skypowersvp@gmail.com,9723070267,648,187
GUJARAT,Banas Kantha,DIVINE ENERGY,divineenergy42@gmail.com,6354051676,642,186
GUJARAT,Banas Kantha,H K SOLAR ENERGY,hkenergy16@gmail.com,9714516576,572,173
GUJARAT,Banas Kantha,CONCEPT SOLAR ENERGY,conceptsolarenergy21@gmail.com,9662414865,566,172
GUJARAT,Banas Kantha,RK SUN POWER LLP,rksunpowertrading@gmail.com,9913785000,561,167
GUJARAT,Banas Kantha,SRI BALAJI SUN ENERGY,info@sribalajienergy.com,7878375444,541,160
GUJARAT,Banas Kantha,AMPLE SOLAR PVT LTD,ravi@amplesolar.in,9979792403,530,156
GUJARAT,Banas Kantha,AYAN SOLAR ENERGY,ayansolar25@gmail.com,7623886775,500,146
GUJARAT,Banas Kantha,AHAD SOLARTECH,ahad.solartech@gmail.com,9724259440,503,144
GUJARAT,Banas Kantha,KSQUARE ENERGY PVT LTD,projects@ksquareenergy.com,9725218150,476,142
