state,district,company_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Bharuch,SURYASE ENERGY,suryaseenergy@gmail.com,9662047390,5921,1566
GUJARAT,Bharuch,THE SOLAR HOUSE,thesolarhouse9@gmail.com,8485950999,2628,673
GUJARAT,Bharuch,MADYSON ELECTRICAL,madyson.electrical41@gmail.com,9998864567,2292,646
GUJARAT,Bharuch,SUNSKY SOLAR,trdesai@sunskysolar.co.in,9727518665,1866,495
GUJARAT,Bharuch,HEAVEN GREEN ENERGY LTD. (FORMERLY KNOWN AS HEAVEN SOLAR ENERGY PVT LTD),heavensolarenergy@gmail.com,9979532167,1605,428
GUJARAT,Bharuch,SAAN ELECTRICAL,saanelectrical@gmail.com,9033735490,2029,417
GUJARAT,Bharuch,OCEANIC POWER ENGINEERS PRIVATE LIMITED,oceanicpower.in@gmail.com,7778065600,1680,406
GUJARAT,Bharuch,ACCLIMATE SYSTEMS PRIVATE LIMITED,acclimatesystem@gmail.com,7878538141,1521,400
GUJARAT,Bharuch,24R ENERGY,abhinav.24renergy@gmail.com,9898881359,1446,362
GUJARAT,Bharuch,ANK SOLAR ENERGY,anksolarenergy@gmail.com,9724816510,1128,303
GUJARAT,Bharuch,KSQUARE ENERGY PVT LTD,projects@ksquareenergy.com,9725218150,1124,272
GUJARAT,Bharuch,DELICATE SOLAR PRIVATE LIMITED,gabanijemish3@gmail.com,8238340836,1016,257
GUJARAT,Bharuch,NARMADA RENEWABLES,narmadarenewables@gmail.com,7623870035,1050,256
GUJARAT,Bharuch,GO GREEN SOLAR,info@gogreen-solar.in,9033996494,841,247
GUJARAT,Bharuch,SHREEJI SOLAR,info.shreejisolar@gmail.com,9904351125,899,230
GUJARAT,Bharuch,EFFORTS SOLAR PRIVATE LIMITED (FORMERLY KNOWN AS EFFORTS ENTERPRISES),admin@effortsgroup.in,9067817117,922,225
GUJARAT,Bharuch,GREEN E TECHNOLOGIES,green3e@live.com,8866208770,856,224
GUJARAT,Bharuch,SMIT ENGINEERING SOLUTION,smitengineering10@gmail.com,9033381684,908,222
GUJARAT,Bharuch,GREENEABLE SOLAR SOLUTION,greeneablesolar@gmail.com,6357555660,883,209
GUJARAT,Bharuch,UNIQUE ELECTRICAL,sales.epc2016@gmail.com,9099000148,797,207
GUJARAT,Bharuch,SHREEJI ELECTRICAL - VADSAR,shreejielectrical13@gmail.com,9624542806,768,204
GUJARAT,Bharuch,SIMCO ENGINEERS,contactsimcoengineers@gmail.com,9512433909,881,203
GUJARAT,Bharuch,BALA SOLAR,balasolar@yahoo.com,9879188034,817,198
GUJARAT,Bharuch,KARAN SOLAR ENERGY,karan.solar.energy@gmail.com,9824796056,896,196
GUJARAT,Bharuch,GREEN HOUSE SOLAR POWER SOLUTIONS,info@greenhousesolar.in,7990068891,718,196
GUJARAT,Bharuch,SHANTINIKETAN COMPUTER AND COMMUNICATION PVT LTD,shantiniketan@hotmail.com,9428444211,623,171
GUJARAT,Bharuch,PARISHRAM INFOENERGY,parishraminfoenergy@gmail.com,9909433132,665,159
GUJARAT,Bharuch,AKV ENERGY SOLUTIONS,akvenergysolutions@gmail.com,9033401435,552,156
GUJARAT,Bharuch,SURYA URJA SYSTEMS,suryaurjasystems@gmail.com,9824276142,590,148
GUJARAT,Bharuch,EVERGREEN SOLAR,evergreensolar20@gmail.com,9408938979,557,144
GUJARAT,Bharuch,RAJANJI ENTERPRISE,RAJANJI72.LV@GMAIL.COM,8849116749,580,140
GUJARAT,Bharuch,GRADIENT ELECTRICAL ENTERPRISE,gradientelectrical@gmail.com,9998850932,561,136
GUJARAT,Bharuch,EVOTAR TECHNOLOGIES PRIVATE LIMITED,info@evotartech.com,6358999573,478,125
GUJARAT,Bharuch,SHREEJI ELECTRICALS,shreejiele@gmail.com,9825089343,429,118
GUJARAT,Bharuch,NILESH ENGINEERS,nileshengineers57@gmail.com,9033005732,373,111
GUJARAT,Bharuch,SOLVEIG SOLAR PRIVATE LIMITED,solveigsolar@gmail.com,9724362544,434,110
GUJARAT,Bharuch,PATEL ENTERPRISE,patel.enterprise15@gmail.com,7624087337,435,103
GUJARAT,Bharuch,SOLAR ACE,project.solarace@gmail.com,9909037803,390,100
GUJARAT,Bharuch,AKHAND SHAKTI SOLAR,apparanjape@gmail.com,9427003484,334,91
GUJARAT,Bharuch,SHREE HARI SOLAR,patelravit1@gmail.com,9819049759,323,85
GUJARAT,Bharuch,KOTSON PROJECTS PRIVATE LIMITED,kotsonprojects@gmail.com,9978909595,344,82
GUJARAT,Bharuch,MITRA SOLAR ENERGY,mitrasolarenergy@gmail.com,9725777143,315,81
GUJARAT,Bharuch,GS POWERTECH,info.gspowertech@gmail.com,7567438385,291,80
GUJARAT,Bharuch,GAYATRI SOLAR ENERGY,info@gayatrisolarenergy.com,8866778940,328,76
GUJARAT,Bharuch,RSV POWER ENGINEERING,rsv.power.engineering@gmail.com,9033590507,318,73
GUJARAT,Bharuch,SOLARIUM GREEN ENERGY LIMITED,np@solariumenergy.in,9687133338,266,70
GUJARAT,Bharuch,EARTHWAVE TECHNOLOGY PRIVATE LIMITED,EARTHWAVETECHNOLOGY@GMAIL.COM,9426373334,272,69
GUJARAT,Bharuch,BAPA SITARAM RENEWABLE ENERGY,BSREVADODARA@GMAIL.COM,9925557878,258,67
GUJARAT,Bharuch,PRAYOSHA CORPORATION,prayoshacorporation.india@gmail.com,9825390162,253,66
GUJARAT,Bharuch,VEDANTA SOLAR,info.vedantasolar@gmail.com,8140233119,232,64
GUJARAT,Bharuch,BHASKAR SOLAR ENTERPRISE,info.bhaskarsolar@gmail.com,8980451231,257,63
GUJARAT,Bharuch,AONE RENEWABLE ENERGY,md.aonerenewableenergy@gmail.com,7435061657,264,63
GUJARAT,Bharuch,RENEWABLE SUN SOLAR,renewablesunsolar@gmail.com,7600201198,240,61
GUJARAT,Bharuch,OM SHANTI SOLAR GROUP,omshantisolar@gmail.com,8530122612,186,61
GUJARAT,Bharuch,SUNRISE SOLAR,sunrisesolar1605@gmail.com,9898261920,223,59
GUJARAT,Bharuch,PRINCE ELECTRICAL,princeelectrical20@gmail.com,8866507173,222,58
GUJARAT,Bharuch,POWERTECH ENGINEERS SURAT,sanatbarot@gmail.com,9377625242,209,54
GUJARAT,Bharuch,RIGHTWAY ELECTRICALS,rightwayelectricals@gmail.com,9537519905,205,53
GUJARAT,Bharuch,SOMPOWER ENTERPRISE,sompower.enterprise@gmail.com,9879615264,143,51
GUJARAT,Bharuch,SOLAR SMART PVT LTD,solarsmart2021@gmail.com,7284000580,199,48
GUJARAT,Bharuch,AUSTRALIAN PREMIUM SOLAR INDIA PVT LTD,systems@australianpremiumsolar.co.in,7966006600,176,48
GUJARAT,Bharuch,FRELIT ENERGY PRIVATE LIMITED,frelitenergy@gmail.com,9512700130,193,47
GUJARAT,Bharuch,KAIZEN ENERGY,info.kaizenenergy@gmail.com,8347424158,179,45
GUJARAT,Bharuch,INFRAX RENEWABLE LIMITED,pmsg@infraxrenewable.com,9033260985,164,44
GUJARAT,Bharuch,5 RAYS ENERGY,5raysenergy@gmail.com,9979595404,158,43
GUJARAT,Bharuch,PRAVEG SOLAR,office.praveg@gmail.com,9081714161,176,42
GUJARAT,Bharuch,AK GREEN ENERGY,akgreenenergy49@gmail.com,9974846833,162,41
GUJARAT,Bharuch,GREEN FEEDS,greenfeedsolar@gmail.com,9426780778,158,40
GUJARAT,Bharuch,AVANTA,info@avantasolar.com,9586355511,163,39
GUJARAT,Bharuch,R N SALES CORPORATION,r.tech.2000@gmail.com,9574472134,113,38
GUJARAT,Bharuch,SIGMA SUN ENERGY,info.sigmasunenergy@gmail.com,9726764498,138,37
GUJARAT,Bharuch,APS ROOFTOP SOLAR PRIVATE LIMITED,info@apsrooftopsolar.co.in,7966009900,129,37
GUJARAT,Bharuch,AMPERE GREEN ENERGY,amperegreenenergy@gmail.com,9033116472,132,37
GUJARAT,Bharuch,AARISH POWER,harshpatel5268@gmail.com,7600621060,151,37
GUJARAT,Bharuch,SN GROUP OF COMPANY,sngroupofcompany2022@gmail.com,9725324439,117,36
GUJARAT,Bharuch,SHIVHARDHA SHD PROJECTS,shivhardha@gmail.com,9898692603,137,35
GUJARAT,Bharuch,RG SOLAR SOLUTIONS,info@rgsolarsolutions.com,7718719713,122,35
GUJARAT,Bharuch,POWER PLUS ENERGY,powerplussolarenergy@gmail.com,9998183339,110,34
GUJARAT,Bharuch,MANAN SOLAR,manansolar2022@gmail.com,9714352719,139,33
GUJARAT,Bharuch,SILVER CONSUMER ELECTRICALS LIMITED (FORMERLY KNOWN AS SILVER CONSUMER ELECTRICALS PRIVATE LIMITED),kevin.patel@silverpumps.com,7486059400,115,31
GUJARAT,Bharuch,SURYAKAMAL INFRA PVT.LTD.,sales@suryakamalinfra.com,9727756866,114,30
GUJARAT,Bharuch,BHAVI URJA,bhaviurja@gmail.com,9377359007,136,30
GUJARAT,Bharuch,P V ENERGY,pvenergy999@gmail.com,9924195999,115,29
GUJARAT,Bharuch,ICON ENERGY,info@iconenergy.in,9909999162,116,29
GUJARAT,Bharuch,E2 SOLUTIONS,e2solutions.ahm@gmail.com,9409049645,102,29
GUJARAT,Bharuch,SOLAR PLANET,solarplanet011@gmail.com,8200379037,101,27
GUJARAT,Bharuch,ZAVICH INFRASTRUCTURE AND POWER PVT LTD,zavichinfra@gmail.com,9106129608,114,26
GUJARAT,Bharuch,URJASTROT PRIVATE LIMITED,urjastrotenterprise@gmail.com,7621010012,94,26
GUJARAT,Bharuch,SOLARIZE RENEWABLES PVT. LTD.,info@solarizerenewables.com,9081999400,105,25
GUJARAT,Bharuch,SHREEJI ENTERPRISE-SURAT,epc.solar@shreejiconstruction.com,9825108890,108,25
GUJARAT,Bharuch,KT SOLAR ENERGY,KTSOLARENERGY14418@GMAIL.COM,9033092122,107,25
GUJARAT,Bharuch,SATYAM SOLAR,satyamsolar823@gmail.com,9227941770,85,24
GUJARAT,Bharuch,LIGHTRIC POWER SOLUTION,lightricpower@gmail.com,6355768984,90,24
GUJARAT,Bharuch,INFINITY SOLAR - SURAT,infinity.solar01@gmail.com,8866860686,97,24
GUJARAT,Bharuch,ALPHA ELECTRICAL,ae_electrical@outlook.com,8200446286,95,24
GUJARAT,Bharuch,ZODIAC ENERGY LIMITED,info@zodiacenergy.com,7861852582,81,23
GUJARAT,Bharuch,JANETA SOLAR,info.janetasolar90@gmail.com,8734829145,81,22
GUJARAT,Bharuch,CAPTAIN POLYPLAST LIMITED,solar@captainpolyplast.in,9313925889,80,22
GUJARAT,Bharuch,TECHSUN SOLAR,matolindia@gmail.com,7043731102,70,21
GUJARAT,Bharuch,SUNFREE ENERGY,sunfreeenergy2017@gmail.com,7600002358,75,20
GUJARAT,Bharuch,HARI ELECTRICAL & SOLAR,harielectrical18@gmail.com,7990453967,79,20
GUJARAT,Bharuch,GETWAY ENERGY,getwayenergy@gmail.com,9925827815,79,20
GUJARAT,Bharuch,COSMIC POWER TECH,cosmicpowertech@gmail.com,9313720672,64,20
GUJARAT,Bharuch,ZENITH SUNSPARK,zenithsunspark@gmail.com,8140946909,67,19
GUJARAT,Bharuch,PLUGIN ELECTRICAL,info@pluginelectrical.in,9512020316,67,19
GUJARAT,Bharuch,HELIOPATH SOLAR TECHNOLOGIES,enquiry.heliopath@gmail.com,8238664332,85,19
GUJARAT,Bharuch,ARIS SOLAR,arissolartech@gmail.com,9662336115,76,19
GUJARAT,Bharuch,MADHVAN POLYPLAST PVT. LTD.,cmp.madhavanpolyplast@gmail.com,9104306162,71,18
GUJARAT,Bharuch,INOX SOLAR ENERGY,inoxsolarenergy@gmail.com,9904604047,60,18
GUJARAT,Bharuch,DK SOLAR TECHNOLOGY,dksolartechno@gmail.com,9824998007,67,18
GUJARAT,Bharuch,AANJNEY ENTERPRISE,aanjneysolar@gmail.com,6353161531,66,18
GUJARAT,Bharuch,SUNCELL SOLAR LLP,suncellsolarenergy@gmail.com,9512668884,69,17
GUJARAT,Bharuch,SOLWAVE SOLAR,solwave4solar@gmail.com,9409344465,67,17
GUJARAT,Bharuch,SOLEOS GREEN ENERGY PRIVATE LIMITED,pruthvi@soleos.in,9512448900,70,17
GUJARAT,Bharuch,SOLARIS TECHNO,solaristechno@gmail.com,8767917570,53,17
GUJARAT,Bharuch,SHREE SOLAR VENTURE PVT LTD,shreesolarventure@gmail.com,9571211118,55,17
GUJARAT,Bharuch,CORWIND RENERGY LLP,corwind.renergy@gmail.com,9428490118,66,17
GUJARAT,Bharuch,TRIZONE POWER,trizonepower05@gmail.com,9638052084,65,16
GUJARAT,Bharuch,MADHAV ENERGY SOLUTION,info.madhavenergy@gmail.com,9408354018,57,16
GUJARAT,Bharuch,EARTH SOLARISM,earthsolarism@gmail.com,9724990231,60,16
GUJARAT,Bharuch,CITIZEN SOLAR PVT. LTD.,tsjain@citizensolar.com,9825144499,62,16
GUJARAT,Bharuch,SMS ENTERPRISE,smsenterprise7874@gmail.com,7016759535,63,15
