state,district,company_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Bhavnagar,HARSH COMMUNICATION,harshcomm.solar@gmail.com,9137373727,5312,1548
GUJARAT,Bhavnagar,JANTA RENEWABLE ENRGY,jantarenewableenergy@gmail.com,9898897373,5049,1486
GUJARAT,Bhavnagar,GLOBAL ENTERPRISE,globalsolarent@gmail.com,9924900304,4590,1303
GUJARAT,Bhavnagar,SUNCELL SOLAR LLP,suncellsolarenergy@gmail.com,9512668884,2868,809
GUJARAT,Bhavnagar,RUDRA SOLAR AND ELECTRICAL,rudrasolar2019@gmail.com,9510514672,2567,739
GUJARAT,Bhavnagar,JAFFINS ENTERPRISE,solarbhavnagar@gmail.com,9375465252,2542,739
GUJARAT,Bhavnagar,YOG ENTERPRISE,yogenterprise.vallabhipur@gmail.com,7600790079,1867,537
GUJARAT,Bhavnagar,MADHAV TECHNICALS,madhavtechnicals@gmail.com,9737384121,1909,527
GUJARAT,Bhavnagar,SKY BLUE SOLAR,skybluesolar56@gmail.com,9824965349,1665,490
GUJARAT,Bhavnagar,YUVAAN ENERGY PRIVATE LIMITED,sales@yuvaanenergy.com,9825045890,1477,424
GUJARAT,Bhavnagar,CHEMITEX EXPORTS PVT LTD,shrijichem@hotmail.com,9099940535,1420,407
GUJARAT,Bhavnagar,MADHULI CORPORATION,madhulicorporation@gmail.com,9904990630,1332,381
GUJARAT,Bhavnagar,J P ENTERPRISE,jpenterprise2007@gmail.com,9824220210,1240,373
GUJARAT,Bhavnagar,GOLDI SOLAR PRIVATE LIMITED,info@goldisolar.com,7211134134,478,372
GUJARAT,Bhavnagar,MARUTI SOLAR SYSTEMS,dinesh.navar@gmail.com,9409080149,1299,367
GUJARAT,Bhavnagar,GREENERA ENERTECH PVT LTD,greenera.solarenergy@gmail.com,9427726620,1224,358
GUJARAT,Bhavnagar,MK ELECTRICAL AND CO,mkelectrical.co@gmail.com,8866525483,1169,325
GUJARAT,Bhavnagar,NEW RESEARCH TECHNOLOGY,nrtsolar@gmail.com,9427809253,1081,316
GUJARAT,Bhavnagar,ECLIPTIC SOLAR,davevishalkumar@gmail.com,9825023276,1146,312
GUJARAT,Bhavnagar,M S ENERGY,msenergy2021@gmail.com,7265939104,1034,303
GUJARAT,Bhavnagar,MARUTI SOLAR,marutisolar.bvn@gmail.com,9429292818,1021,283
GUJARAT,Bhavnagar,JAI SOMNATH ENTERPRISE,msjaisomnathenterprise@gmail.com,9979990909,963,282
GUJARAT,Bhavnagar,SMART ENERGY SOLUTIONS,smartenergysolutions99@gmail.com,8511495982,931,279
GUJARAT,Bhavnagar,J J PATEL,solar@sunphotovoltaic.com,8347225555,995,278
GUJARAT,Bhavnagar,MADHVAN POLYPLAST PVT. LTD.,cmp.madhavanpolyplast@gmail.com,9104306162,988,273
GUJARAT,Bhavnagar,H V ENERGIES,hvsolarenergies@gmail.com,7069797784,944,262
GUJARAT,Bhavnagar,SIGMA ENGINEERING,sigma_engg@yahoo.co.in,9825205934,847,247
GUJARAT,Bhavnagar,D-LIGHT SOLAR ENERGY LLP,epc@dlightsolarenergy.in,9898511535,847,245
GUJARAT,Bhavnagar,F SOLAR ROOFTOP,fsolarrooftop@gmail.com,8469525856,879,238
GUJARAT,Bhavnagar,PATEL SOLAR,patelsolarmahuva@gmail.com,9825353092,829,235
