state,district,company_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Botad,SHREE MARUTI SOLAR ENERGY,shreemarutisolarenergy@gmail.com,8320045640,1763,524
GUJARAT,Botad,GREEN EARTH SOLAR,info.ges2015@gmail.com,9723076250,1726,505
GUJARAT,Botad,AMAR JYOT SPRAY PUMP,ajagriandsolar@gmail.com,9722227299,1690,492
GUJARAT,Botad,VIRAJBHAI VISUBHAI KHACHAR,gchauhan17388@gmail.com,9898986662,1074,306
GUJARAT,Botad,HARIOM ENGINEERING,hariomsolarbotad@gmail.com,8140771766,725,206
GUJARAT,Botad,MADHAV SOLAR ENERGY LIMITED (FORMERLY KNOWN AS MADHAV ENTERPRISE - SURAT),info@madhavsolarenergy.com,8849299212,701,203
GUJARAT,Botad,INFRAX INTERNATIONAL,info@infraxsolar.com,7778002780,588,172
GUJARAT,Botad,HARIOM ELECTRICS,manoj.patiwala.in@gmail.com,8140438508,613,169
GUJARAT,Botad,ADVANCE SOLAR,advancesolar139@gmail.com,7698756075,481,136
GUJARAT,Botad,SHREEJI GRIN SOLAR,shrijigreensolar@gmail.com,7203005770,468,134
GUJARAT,Botad,ITALIYA SOLAR,italiyasolar@gmail.com,9909284408,411,122
GUJARAT,Botad,KSQUARE ENERGY PVT LTD,projects@ksquareenergy.com,9725218150,411,118
GUJARAT,Botad,GLOBAL SOLAR ENERGY,globalsolar99@gmail.com,8866190358,396,115
GUJARAT,Botad,LIPO TECHNOLOGY PRIVATE LIMITED,kalpesh@lipotechnology.in,9722266550,399,113
GUJARAT,Botad,YOG ENTERPRISE,yogenterprise.vallabhipur@gmail.com,7600790079,395,110
GUJARAT,Botad,PRACHI GREEN GREEN ENERGY PVT LTD,prachigreenenergy@gmail.com,9737830854,368,106
GUJARAT,Botad,MITRA RENEWABLE ENERGY,mitra.renewable@gmail.com,9824792815,347,105
GUJARAT,Botad,JANTA RENEWABLE ENRGY,jantarenewableenergy@gmail.com,9898897373,354,102
GUJARAT,Botad,INFINITY SOLAR - SURAT,infinity.solar01@gmail.com,8866860686,231,69
GUJARAT,Botad,SOL MAX SOLUTION,mpboricha111@gmail.com,9429343757,238,67
GUJARAT,Botad,SHREE KHODIYAR REFRIGERATION SALES AND SERVICE,shreekhodiyarref85@gmail.com,9825289293,226,67
GUJARAT,Botad,SYNCHRO ENERGY,synchroenergy389@gmail.com,9974737316,203,58
GUJARAT,Botad,CAPTAIN POLYPLAST LIMITED,solar@captainpolyplast.in,9313925889,185,55
GUJARAT,Botad,ARETE ELECTROPOWER PVT LTD,projects@arelectropower.com,9099940283,180,54
GUJARAT,Botad,RAYSOLAR ENERGY SOLUTIONS PRIVATE LIMITED,raysolarenergysolutions@gmail.com,7874390654,181,53
GUJARAT,Botad,KESARI SOLAR,kesarisolar2322@gmail.com,8780553703,168,50
GUJARAT,Botad,SUNCELL SOLAR LLP,suncellsolarenergy@gmail.com,9512668884,168,49
GUJARAT,Botad,OMEGA POWER,omegapower2018@gmail.com,7990226349,154,47
GUJARAT,Botad,MADHVAN POLYPLAST PVT. LTD.,cmp.madhavanpolyplast@gmail.com,9104306162,130,42
GUJARAT,Botad,GREENERA ENERTECH PVT LTD,greenera.solarenergy@gmail.com,9427726620,139,42
GUJARAT,Botad,SOLISTA ENERGY,solistaenergy8@gmail.com,9106194946,134,40
GUJARAT,Botad,SOLAR ACE,project.solarace@gmail.com,9909037803,135,40
GUJARAT,Botad,ARKAY ICONIC PRIVATE LIMITED,arkaysolar@gmail.com,8401236600,132,40
GUJARAT,Botad,ETECH ENERGY,admin@etechenergy.com,9328509877,110,34
GUJARAT,Botad,KHODAL CORPORATION,khodalcorporation10@gmail.com,9974129558,113,33
GUJARAT,Botad,GREEN ENERGY - RAJKOT,greenenergy123@gmail.com,9428010202,110,31
GUJARAT,Botad,SAURASHTRA SOLAR SERVICES LLP,SaurashtraSolar.Gujrat@gmail.com,9925448033,108,30
GUJARAT,Botad,PATEL GREEN ENERGY SALES AND SERVICE,patelgreenenergyinfo@gmail.com,9427412983,95,27
GUJARAT,Botad,KARTAVY AGROTECH,kartavysolar@gmail.com,9426465233,88,27
GUJARAT,Botad,SKY BLUE SOLAR,skybluesolar56@gmail.com,9824965349,94,26
GUJARAT,Botad,DINESHBHAI CHATURBHAI NANDANA,nandanadinesh62@gmail.com,6351782902,91,25
GUJARAT,Botad,VASANI SOLAR SOLUTION,vasani.solar.solution@gmail.com,9998404646,79,22
GUJARAT,Botad,AMPERE GREEN ENERGY,amperegreenenergy@gmail.com,9033116472,73,22
GUJARAT,Botad,INFRAX RENEWABLE LIMITED,pmsg@infraxrenewable.com,9033260985,71,21
GUJARAT,Botad,SATYAM SALES,kishanagroagencyamreli@gmail.com,9825360183,67,20
GUJARAT,Botad,SHIVAM PHOTOVOLTICS PVT LTD,tenders@spvpl.com,9426023829,61,19
GUJARAT,Botad,MK ELECTRICAL AND CO,mkelectrical.co@gmail.com,8866525483,64,18
GUJARAT,Botad,SUNSHINE SOLAR,sunshinesolarsurat@gmail.com,9537733133,58,17
GUJARAT,Botad,SOLARIUM GREEN ENERGY LIMITED,np@solariumenergy.in,9687133338,57,17
GUJARAT,Botad,RK SUN POWER LLP,rksunpowertrading@gmail.com,9913785000,63,17
GUJARAT,Botad,HARSH COMMUNICATION,harshcomm.solar@gmail.com,9137373727,59,17
GUJARAT,Botad,GREENTECH POWER ENERGY,greentechpowerenergy2020@gmail.com,9924070070,58,17
GUJARAT,Botad,BHANU PV SOLAR PVT LTD,bhanupvsolarpvtltd@gmail.com,9510398989,59,17
GUJARAT,Botad,DIGI SOLAR ENERGY,digisolarenergy@gmail.com,9687818686,56,16
GUJARAT,Botad,BRAHMANI ELECTRICS,brahmanielectrics1987@gmail.com,9429758674,49,15
GUJARAT,Botad,SOLSKIN ENERGY LLP,solskinenergy@gmail.com,8128988878,49,14
GUJARAT,Botad,SCION POWER,scionpower@yahoo.com,7043511106,46,14
GUJARAT,Botad,PATIDAR ENTERPRISE,patidarenterprise13@gmail.com,8980312782,49,14
GUJARAT,Botad,FLAME SOLREN PRIVATE LIMITED,operations@flamesolren.com,8849478907,48,14
GUJARAT,Botad,CREST ENERGY SOLUTIONS,crestenergysolutions@gmail.com,9327415839,49,14
GUJARAT,Botad,SHREERAM ENTERPRISE,shreeramvalbhi7@gmail.com,8154845959,41,12
GUJARAT,Botad,SAUR SOLAR SOLUTION LLP,piyushpatel1974@gmail.com,9909417258,35,11
GUJARAT,Botad,GROWSUN RENEWABLE LLP,info.growsunrenewablellp@gmail.com,9925590193,36,11
GUJARAT,Botad,FERUS ENERGIES CO,info@ferusenergies.com,9913341342,38,11
GUJARAT,Botad,URATOM SOLAR INDIA PVT LTD,pv@uratom.com,9925099249,32,10
GUJARAT,Botad,SHREE HARI SOLAR,patelravit1@gmail.com,9819049759,32,10
GUJARAT,Botad,GALAXY ENERGY SOLUTION,galaxyenergysolution@protonmail.com,9428158678,36,10
GUJARAT,Botad,AUSTRALIAN PREMIUM SOLAR INDIA PVT LTD,systems@australianpremiumsolar.co.in,7966006600,34,10
GUJARAT,Botad,ARKAY SOLAR ENERGY LLP,arkaysolar02@gmail.com,9737636600,32,10
GUJARAT,Botad,APS ROOFTOP SOLAR PRIVATE LIMITED,info@apsrooftopsolar.co.in,7966009900,34,10
GUJARAT,Botad,PRAYOSHAM SOLAR ENERGY,jayrajp880@gmail.com,9574242883,32,9
GUJARAT,Botad,PERFECT RENEWTECH PRIVATE LIMITED,info@perfectrenewtech.com,9965200700,31,9
GUJARAT,Botad,GOPAL ENTERPRISE,gokulbharvad@gmail.com,9727756664,30,9
GUJARAT,Botad,POWERSHINE ENERGY,powershineenergy1993@gmail.com,9723096888,26,8
GUJARAT,Botad,CEYONE SOLAR,ceyonesolar@gmail.com,7567091000,26,8
GUJARAT,Botad,U R ENERGY INDIA PVT LTD,india@urenergyglobal.com,9512040442,23,7
GUJARAT,Botad,RELIABLE ELECTRIX,reliableelectrix@gmail.com,9925448033,22,7
GUJARAT,Botad,ND ENERGY INDIA PRIVATE LIMITED,ndenergyindia@gmail.com,8000001124,23,7
GUJARAT,Botad,JAY AMBE GREEN ENERGY,jayambegreenenergy@gmail.com,9824328725,21,6
GUJARAT,Botad,HEAVEN GREEN ENERGY LTD. (FORMERLY KNOWN AS HEAVEN SOLAR ENERGY PVT LTD),heavensolarenergy@gmail.com,9979532167,22,6
GUJARAT,Botad,BHANU ENTERPRISES,akkothari1964@gmail.com,9263635946,20,6
GUJARAT,Botad,ANUPAM SMART ENERGY SOLAR,anupamsmartenergy@gmail.com,9601719818,20,6
GUJARAT,Botad,4THVED AGROTECH,4thvedagro@gmail.com,9377126082,20,6
GUJARAT,Botad,VASHRAMBHAI LAKHABHAI GHED,satrang.com@gmail.com,9624152555,18,5
GUJARAT,Botad,SOLEOS GREEN ENERGY PRIVATE LIMITED,pruthvi@soleos.in,9512448900,20,5
GUJARAT,Botad,SANELITE SOLAR PVT LTD,bhavesh.modi@sanelitesolar.com,9374021722,16,5
GUJARAT,Botad,PRAYOSHA CORPORATION,prayoshacorporation.india@gmail.com,9825390162,16,5
GUJARAT,Botad,MANYAH ENERGY PVTLTD,manyahenergy@gmail.com,9925065224,14,5
GUJARAT,Botad,LGM ENERGY AND INFRACON LLP,lgmenergyandinfraconllp@gmail.com,7574000906,16,5
GUJARAT,Botad,KAIZEN ENERGY,info.kaizenenergy@gmail.com,8347424158,16,5
GUJARAT,Botad,JAI SOMNATH ENTERPRISE,msjaisomnathenterprise@gmail.com,9979990909,17,5
GUJARAT,Botad,BAPA SITARAM SOLAR POWER PVT LTD,bapasitaramsolarpower@gmail.com,8511362222,18,5
GUJARAT,Botad,ZODIAC ENERGY LIMITED,info@zodiacenergy.com,7861852582,15,4
GUJARAT,Botad,VRTECH ENERGY,vrtechenergy20@gmail.com,9157988889,13,4
GUJARAT,Botad,VIABLE SOLAR,viable.solar9990@gmail.com,9913344841,12,4
GUJARAT,Botad,UNIQUE SOLAR SERVICE,UNIQUESOLARSERVICERAJKOT@GMAIL.COM,7046082382,13,4
GUJARAT,Botad,SURYASIDDHI ENERGY SOLUTION PRIVATE LIMITED,suryasiddhienergysolutions@gmail.com,8460641891,12,4
GUJARAT,Botad,SURYA SHAKTI SOLAR,suryashaktisolar09@gmail.com,7567992734,16,4
GUJARAT,Botad,SUNBOOST PRIVATE LTD,info@sunboostenergy.com,9104227788,13,4
GUJARAT,Botad,SHINE ENERGY SOLUTION,info@shineenergysolution.in,9687959342,12,4
GUJARAT,Botad,PROMECH SOLAR ENERGY,promechsolarenergy@gmail.com,9662026679,13,4
GUJARAT,Botad,J S COMPANY,jscompany9@gmail.com,7990307424,12,4
GUJARAT,Botad,GETWAY ENERGY,getwayenergy@gmail.com,9925827815,13,4
GUJARAT,Botad,ENJOY TECHNOLOGY,care.enjoytechnology@gmail.com,9727718887,15,4
GUJARAT,Botad,CHEMITEX EXPORTS PVT LTD,shrijichem@hotmail.com,9099940535,12,4
GUJARAT,Botad,ADINSON ENERGY LLP,adinsonenergy2022@gmail.com,9724272728,16,4
GUJARAT,Botad,AARU SOLAR PRIVATE LIMITED,sharad.aarusolar@gmail.com,9427954432,16,4
GUJARAT,Botad,VIDE ENERGY,ankita.videenergy@gmail.com,9712668268,9,3
GUJARAT,Botad,TROM INDUSTRIES LIMITED,marketing@tromsolar.in,9081017444,11,3
GUJARAT,Botad,SHIVAM ELECTRICAL,kaushaldave2@gmail.com,9687575600,10,3
GUJARAT,Botad,SHIV SHAKTI ELECTROTECH PRIVATE LIMITED,purchase.sselectrotech@gmail.com,9099516178,9,3
GUJARAT,Botad,RVMOVALIYA CONSTRUCTION CO,rvmovaliya.solarenergy@gmail.com,9724543742,10,3
GUJARAT,Botad,RAJKOT E-BIKES AND SOLAR,rajkotebikesandsolar@gmail.com,8306020890,9,3
GUJARAT,Botad,RADHE ELECTRICAL,radheelectrical24@gmail.com,9601294783,9,3
GUJARAT,Botad,PAHAL SOLAR EPC LLP,avinash@pahalsolar.com,9512323223,9,3
GUJARAT,Botad,MITRAY ENGINEERING,mitray.engineering@gmail.com,7621895796,12,3
GUJARAT,Botad,MAPS TECHNO SOLUTIONS,mapstechnosolutions@gmail.com,9974386038,11,3
GUJARAT,Botad,JJ PV SOLAR PRIVATE LIMITED,rajesh@jjpvsolar.com,9904809006,10,3
GUJARAT,Botad,GOLDI SOLAR PRIVATE LIMITED,info@goldisolar.com,7211134134,9,3
GUJARAT,Botad,EMISUN SOLAR PVT LTD,care@emisun.in,9510777984,9,3
GUJARAT,Botad,DRAYS ENERGY SOLUTIONS,draysenergy@gmail.com,7802893258,9,3
GUJARAT,Botad,DEVDEEP ELECTRICALS,devdeepelectricals@gmail.com,9726879009,9,3
GUJARAT,Botad,BHAVI URJA,bhaviurja@gmail.com,9377359007,11,3
GUJARAT,Botad,AVIRAT ENERGY PVT LTD,aviratenergy@gmail.com,9697443344,9,3
