state,district,company_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Devbhoomi Dwarka,CAPTAIN POLYPLAST LIMITED,solar@captainpolyplast.in,9313925889,320,90
GUJARAT,Devbhoomi Dwarka,SHIV SOLARTECH,info.shivsolartech@gmail.com,9825245956,250,77
GUJARAT,Devbhoomi Dwarka,AMAR JYOT SPRAY PUMP,ajagriandsolar@gmail.com,9722227299,318,75
GUJARAT,Devbhoomi Dwarka,VASTUSHILP SOLAR SOLUTION,vastushilpsolar@gmail.com,7016687155,192,50
GUJARAT,Devbhoomi Dwarka,RAJKOT E-BIKES AND SOLAR,rajkotebikesandsolar@gmail.com,8306020890,168,43
GUJARAT,Devbhoomi Dwarka,H.B.CHOPDA,hasmukhchopda@gmail.com,9797979261,155,43
GUJARAT,Devbhoomi Dwarka,SURYANCE SOLAR,suryancesolar@gmail.com,9664504655,150,41
GUJARAT,Devbhoomi Dwarka,SHREE GANGESHWAR ENGINEERING PRIVATE LIMITED,shreegangeshwarengineering@gmail.com,9157974445,144,41
GUJARAT,Devbhoomi Dwarka,VITRAG TECHNO PRIVATE LIMITED,ad.vitragsolar@gmail.com,7778882668,139,40
GUJARAT,Devbhoomi Dwarka,VITRAG ENTERPRISE,vitrag.enterprise@yahoo.com,8866709860,127,38
GUJARAT,Devbhoomi Dwarka,UNIVERSE ENTERPRISE,muljinakum1103@gmail.com,7878789968,133,38
GUJARAT,Devbhoomi Dwarka,SANJEE ENTERPRISE,sanjee.enterprise@gmail.com,9157353735,127,38
GUJARAT,Devbhoomi Dwarka,SAMRUDDDHI ENTERPRISE,samruddhienterprise22@gmail.com,9033676399,133,37
GUJARAT,Devbhoomi Dwarka,POWERSHINE ENERGY,powershineenergy1993@gmail.com,9723096888,137,37
GUJARAT,Devbhoomi Dwarka,KIRTAN MARKETING,kirtanmarketing@gmail.com,9714440026,127,37
GUJARAT,Devbhoomi Dwarka,GROWTECH ENERGY,growtechenergy91@gmail.com,9998435528,120,34
GUJARAT,Devbhoomi Dwarka,SOHAM TECHNO SOLUTIONS,stssolar.document@gmail.com,9274349757,121,33
GUJARAT,Devbhoomi Dwarka,SHREE SURYA SOLAR SOLUTION,shreesurya2016@gmail.com,8000720006,118,30
GUJARAT,Devbhoomi Dwarka,R. K. CONSTRUCTION,rkconstruction101@gmail.com,9106065865,107,30
GUJARAT,Devbhoomi Dwarka,SEVEN SOLAR ENERGY,divyang@sevensolarenergy.com,9825554277,85,26
GUJARAT,Devbhoomi Dwarka,SHREE KHODIYAR SOLAR PRIVATE LIMITED,sk.solar@yahoo.com,9825820612,83,24
GUJARAT,Devbhoomi Dwarka,AAI SHREE KHODIYAR FEBRICATION,ASKF2024@GMAIL.COM,9725001682,91,24
GUJARAT,Devbhoomi Dwarka,SAURASHTRA SOLAR SERVICES LLP,SaurashtraSolar.Gujrat@gmail.com,9925448033,78,22
GUJARAT,Devbhoomi Dwarka,TVARIT ENERGY LLP,meet@tvritenergy.in,8511600853,70,20
GUJARAT,Devbhoomi Dwarka,RELIABLE ELECTRIX,reliableelectrix@gmail.com,9925448033,60,18
GUJARAT,Devbhoomi Dwarka,GLOBAL SOLAR SOLUTION,moxakboda111@gmail.com,8460820618,58,18
GUJARAT,Devbhoomi Dwarka,ADINSON ENERGY LLP,adinsonenergy2022@gmail.com,9724272728,62,18
GUJARAT,Devbhoomi Dwarka,AUSTRALIAN PREMIUM SOLAR INDIA PVT LTD,systems@australianpremiumsolar.co.in,7966006600,60,17
GUJARAT,Devbhoomi Dwarka,INTIFY SOLAR PVT LTD,intifysolar@gmail.com,6358788735,54,16
GUJARAT,Devbhoomi Dwarka,JAY AMBE GREEN ENERGY,jayambegreenenergy@gmail.com,9824328725,53,15
GUJARAT,Devbhoomi Dwarka,GURUKRUPA SOLAR SOLUTION,gurukrupasolarsolution@gmail.com,8469952443,51,15
GUJARAT,Devbhoomi Dwarka,GLOBAL SOLAR ENERGY,globalsolar99@gmail.com,8866190358,55,15
GUJARAT,Devbhoomi Dwarka,ARIHAA SOLAR PVT LTD,ashish.arihaasolar@gmail.com,9825877888,47,14
GUJARAT,Devbhoomi Dwarka,FLAME SOLREN PRIVATE LIMITED,operations@flamesolren.com,8849478907,46,13
GUJARAT,Devbhoomi Dwarka,DEV TECHNO,devtechno14@gmail.com,9898242190,45,12
GUJARAT,Devbhoomi Dwarka,BHANU ENTERPRISES,akkothari1964@gmail.com,9263635946,37,12
GUJARAT,Devbhoomi Dwarka,SAFECON INDUSTRIAL MAINTENANCE & ENGINEERING SERVICES,safeconservices2013@gmail.com,9925854491,42,11
GUJARAT,Devbhoomi Dwarka,GLOBAL ENTERPRISE,globalsolarent@gmail.com,9924900304,41,11
GUJARAT,Devbhoomi Dwarka,INSOLATION POWER ENTERPRISES,info.insolationpower@gmail.com,7874570839,37,10
GUJARAT,Devbhoomi Dwarka,HARSIDDHI ENGINEERING WORKS,harsiddiengineering@yahoo.com,9428342940,37,10
GUJARAT,Devbhoomi Dwarka,RUDRAKSH SOLAR POWER,rudrakshsolarpower@gmail.com,9016203365,33,9
GUJARAT,Devbhoomi Dwarka,PRAKASH PUMP INDUSTRIES,prakashpumpindustries@gmail.com,9687222263,29,9
GUJARAT,Devbhoomi Dwarka,PARECHA ENTERPRISES,sagarmparecha999@gmail.com,9537704244,34,9
GUJARAT,Devbhoomi Dwarka,REKSON ELECTROTECH,REKSONELECTROTECH37@GMAIL.COM,9904994494,32,8
GUJARAT,Devbhoomi Dwarka,JAI SOMNATH ENTERPRISE,msjaisomnathenterprise@gmail.com,9979990909,26,8
GUJARAT,Devbhoomi Dwarka,UDB ENERGY PVT. LTD.,udbenergypvtltd@gmail.com,7077014714,22,7
GUJARAT,Devbhoomi Dwarka,SOLARIUM GREEN ENERGY LIMITED,np@solariumenergy.in,9687133338,28,7
GUJARAT,Devbhoomi Dwarka,RAICHURA ENERGY,raichuraenergy@gmail.com,9879152830,26,7
GUJARAT,Devbhoomi Dwarka,JJ PV SOLAR PRIVATE LIMITED,rajesh@jjpvsolar.com,9904809006,23,7
GUJARAT,Devbhoomi Dwarka,JIYAAN SOLAR COMPANY,jiyaansolar.co@gmail.com,8160645436,23,7
GUJARAT,Devbhoomi Dwarka,INFRAX RENEWABLE LIMITED,pmsg@infraxrenewable.com,9033260985,26,7
GUJARAT,Devbhoomi Dwarka,SHREE RAM SOLAR RAJKOT,vikeshchovatiya@gmail.com,9898921527,20,6
GUJARAT,Devbhoomi Dwarka,RADIANT GREEN SOLUTIONS,davda.manthan@yahoo.in,9978911803,19,6
GUJARAT,Devbhoomi Dwarka,KIRTAN BATTERIES,kirtanbatteries26@gmail.com,7043337333,22,6
GUJARAT,Devbhoomi Dwarka,AVIRAT ENERGY PVT LTD,aviratenergy@gmail.com,9697443344,28,6
GUJARAT,Devbhoomi Dwarka,SHREEJI ENTERPRISE - JETPUR,shreeji2017enterprise@gmail.com,9638012929,17,5
GUJARAT,Devbhoomi Dwarka,RUDRA ENTERPRISE,rudraenterprise1110@gmail.com,8758462848,16,5
GUJARAT,Devbhoomi Dwarka,KRISHIV ENTERPRISE,jevinpansuriya4@gmail.com,7359294060,19,5
GUJARAT,Devbhoomi Dwarka,KESHWALA ENGINEERING CO.,RKESHWALA26@GMAIL.COM,7575082097,16,5
GUJARAT,Devbhoomi Dwarka,GREENLEAF SOLAR ENERGY,info.greenleaf1@gmail.com,9313945225,22,5
GUJARAT,Devbhoomi Dwarka,ENVIRONMENT SOLUTIONS,environmentsolutions222@gmail.com,9824202220,19,5
GUJARAT,Devbhoomi Dwarka,EFFORTS SOLAR PRIVATE LIMITED (FORMERLY KNOWN AS EFFORTS ENTERPRISES),admin@effortsgroup.in,9067817117,19,5
GUJARAT,Devbhoomi Dwarka,TECHNOCRATS ENGINEERS,technocratsengineers007@gmail.com,9974214007,20,4
GUJARAT,Devbhoomi Dwarka,PATEL SOLAR,patelsolarmahuva@gmail.com,9825353092,15,4
GUJARAT,Devbhoomi Dwarka,GREEN SOLAR ENERGY,greensolarenergygse@gmail.com,8866566056,10,4
GUJARAT,Devbhoomi Dwarka,GREEN ENERGY - RAJKOT,greenenergy123@gmail.com,9428010202,12,4
GUJARAT,Devbhoomi Dwarka,ELLINZA ENERGY,ELLINZAENERGY@GMAIL.COM,9725001682,15,4
GUJARAT,Devbhoomi Dwarka,APS ROOFTOP SOLAR PRIVATE LIMITED,info@apsrooftopsolar.co.in,7966009900,14,4
GUJARAT,Devbhoomi Dwarka,URJASTROT PRIVATE LIMITED,urjastrotenterprise@gmail.com,7621010012,8,3
GUJARAT,Devbhoomi Dwarka,SHREEJI & SONS,shreejiandsolar2211@gmail.com,8140165509,10,3
GUJARAT,Devbhoomi Dwarka,SCION POWER,scionpower@yahoo.com,7043511106,11,3
GUJARAT,Devbhoomi Dwarka,SAVENERGY CORPORATION,savenergy31@gmail.com,9825006309,13,3
GUJARAT,Devbhoomi Dwarka,RAYS RENEWABLE ENERGY,raysrenewableenergy@gmail.com,7069175139,12,3
GUJARAT,Devbhoomi Dwarka,MADHVAN POLYPLAST PVT. LTD.,cmp.madhavanpolyplast@gmail.com,9104306162,9,3
GUJARAT,Devbhoomi Dwarka,JANTA RENEWABLE ENRGY,jantarenewableenergy@gmail.com,9898897373,10,3
GUJARAT,Devbhoomi Dwarka,INFLUX SOLAR SOLUTIONS,influxsolarsolution@gmail.com,6352563582,9,3
GUJARAT,Devbhoomi Dwarka,DEV ENTERPRISE,deventerprise424@gmail.com,9428121408,10,3
GUJARAT,Devbhoomi Dwarka,BNG GREEN ENERGY SOLUTION,bng.greenenergy@gmail.com,9727777171,10,3
GUJARAT,Devbhoomi Dwarka,BHANU PV SOLAR PVT LTD,bhanupvsolarpvtltd@gmail.com,9510398989,11,3
GUJARAT,Devbhoomi Dwarka,AXIS ENERTECH,meet@axisenertech.com,9428028009,11,3
GUJARAT,Devbhoomi Dwarka,VR ENERGY,vrenergy4@gmail.com,9924390293,7,2
GUJARAT,Devbhoomi Dwarka,VENTURE SOLAR SOLUTION,info@venturesolarsolution.com,9979632050,6,2
GUJARAT,Devbhoomi Dwarka,VEER SOLAR GREEN ENERGY,veersolar2024@gmail.com,8347173977,8,2
GUJARAT,Devbhoomi Dwarka,ULTRASUN ENERGY,info@ultrasunenergy.com,9909911071,6,2
GUJARAT,Devbhoomi Dwarka,SOLAR TECHNOLOGY,info@solartechnology.in,9998063204,7,2
GUJARAT,Devbhoomi Dwarka,SHYAM ENTERPRISE,shyamsolarenergy10@gmail.com,8000145645,6,2
GUJARAT,Devbhoomi Dwarka,SHREE MARUTI ELECTRIFICATION ENGINEERS,shreemarutieleCtrificationengi@gmail.com,7016480100,6,2
GUJARAT,Devbhoomi Dwarka,SHAYONAAM ENTERPRISE,shayonaam12@gmail.com,9638766943,9,2
GUJARAT,Devbhoomi Dwarka,ROLEX GREEN ENERGY,ghediyamilan@gmail.com,9429476592,6,2
GUJARAT,Devbhoomi Dwarka,PATIDAR ENTERPRISE,patidarenterprise13@gmail.com,8980312782,6,2
GUJARAT,Devbhoomi Dwarka,MITRAYA ELECTRICAL,mitrayaelectrical@gmail.com,7016415834,7,2
GUJARAT,Devbhoomi Dwarka,FERUS ENERGIES CO,info@ferusenergies.com,9913341342,7,2
GUJARAT,Devbhoomi Dwarka,DIVINE SOLAR ENERGY,divinesolarenergy33@gmail.com,7069853208,6,2
GUJARAT,Devbhoomi Dwarka,BELIANCE ENERGY INDIA PVT.LTD.,belianceenergy@gmail.com,8511651364,7,2
GUJARAT,Devbhoomi Dwarka,BACKBONE ELECTRICALS,backbone.electricals@gmail.com,6356044325,6,2
GUJARAT,Devbhoomi Dwarka,VOLTECH ELECTRICALS,voltechelectricals156@gmail.com,7567771900,4,1
GUJARAT,Devbhoomi Dwarka,TRADE X,tradex.solarenergy22@gmail.com,9106834748,5,1
GUJARAT,Devbhoomi Dwarka,SUNBOOST PRIVATE LTD,info@sunboostenergy.com,9104227788,3,1
GUJARAT,Devbhoomi Dwarka,SOORYABHUMI ENERGY,sooryabhumienergy2024@gmail.com,8155887304,3,1
GUJARAT,Devbhoomi Dwarka,SOLEOS GREEN ENERGY PRIVATE LIMITED,pruthvi@soleos.in,9512448900,3,1
GUJARAT,Devbhoomi Dwarka,SOLAR ACE,project.solarace@gmail.com,9909037803,3,1
GUJARAT,Devbhoomi Dwarka,SKYVIEW POWER,skyviewpower17@gmail.com,8140055305,3,1
GUJARAT,Devbhoomi Dwarka,SHRIJI ENERGY,shrijienergy@gmail.com,9909930405,3,1
GUJARAT,Devbhoomi Dwarka,SHIV SHAKTI ELECTROTECH PRIVATE LIMITED,purchase.sselectrotech@gmail.com,9099516178,3,1
GUJARAT,Devbhoomi Dwarka,SATYAM SALES,kishanagroagencyamreli@gmail.com,9825360183,3,1
GUJARAT,Devbhoomi Dwarka,RUDRA SOLAR ENERGY,info.rudrasolar@gmail.com,9427903084,4,1
GUJARAT,Devbhoomi Dwarka,RIDHAM ENTERPRISE,ridhamenterprise770@gmail.com,6351158633,3,1
GUJARAT,Devbhoomi Dwarka,RAMSUN ENERGY,ramsunenergy09@gmail.com,7984300271,3,1
GUJARAT,Devbhoomi Dwarka,NEWYORK ENGINEERING CO.,akashenergysolar@gmail.com,9824206059,3,1
GUJARAT,Devbhoomi Dwarka,ND ENERGY INDIA PRIVATE LIMITED,ndenergyindia@gmail.com,8000001124,3,1
GUJARAT,Devbhoomi Dwarka,MICROVISE SOLUTIONS,info@microviseindia.com,7778092462,2,1
GUJARAT,Devbhoomi Dwarka,MEGHAL POWER,meghalpower23@gmail.com,9712726390,3,1
GUJARAT,Devbhoomi Dwarka,KVP SOLAR AND SOLUTION,kvpsolarandsolution.22@gmail.com,9033343105,3,1
GUJARAT,Devbhoomi Dwarka,INFINITY SOLAR - RAJKOT,infinitysolar2022@gmail.com,7201070799,3,1
GUJARAT,Devbhoomi Dwarka,GREENTECH ENERGY,bhuvapiyush89@gmail.com,7990053035,3,1
GUJARAT,Devbhoomi Dwarka,FRELIT ENERGY PRIVATE LIMITED,frelitenergy@gmail.com,9512700130,3,1
GUJARAT,Devbhoomi Dwarka,EQUINOX SOLAR PRIVATE LIMITED,info@equinoxsolar.in,7573044078,3,1
GUJARAT,Devbhoomi Dwarka,DHAVAL ELECTRIC SOLUTION,dhavalelectricsolution@gmail.com,8490990138,4,1
