state,district,company_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Gandhinagar,SHREEJI MARKETING - TALOD,rajuksales@gmail.com,9974612008,2139,609
GUJARAT,Gandhinagar,SANELITE SOLAR PVT LTD,bhavesh.modi@sanelitesolar.com,9374021722,1501,405
GUJARAT,Gandhinagar,HELIOSNATURAL RENEWTECH PRIVATE LIMITED,marketing@heliosnatural.com,7600052305,1509,404
GUJARAT,Gandhinagar,SHRI KHATRI BATTERY SERVICE,khatribattery@gmail.com,9426029459,1610,383
GUJARAT,Gandhinagar,AUSTRALIAN PREMIUM SOLAR INDIA PVT LTD,systems@australianpremiumsolar.co.in,7966006600,1331,361
GUJARAT,Gandhinagar,ASV ENERGY SOLUTIONS,vikas30.asv@gmail.com,7879064335,1220,349
GUJARAT,Gandhinagar,TROM INDUSTRIES LIMITED,marketing@tromsolar.in,9081017444,896,253
GUJARAT,Gandhinagar,SOLARIUM GREEN ENERGY LIMITED,np@solariumenergy.in,9687133338,826,220
GUJARAT,Gandhinagar,NEOCENT SOLAR SYSTEM LLP,m.neocent@gmail.com,9974710486,849,219
GUJARAT,Gandhinagar,DEVASYAM ENTERPRISE LLP,abpatel4318@gmail.com,9106684467,757,209
GUJARAT,Gandhinagar,RADHE ELECTRICAL,radheelectrical24@gmail.com,9601294783,691,197
GUJARAT,Gandhinagar,AEILUS RENEWABLE ENERGY,aeilusrenewableenergy@gmail.com,8866581528,893,195
GUJARAT,Gandhinagar,IMAGINE POWERTREE PRIVATE LIMITED,imagine.powertree@gmail.com,9586121111,523,167
GUJARAT,Gandhinagar,SNETRIC POWER,snetricpower@gmail.com,8487013107,634,162
GUJARAT,Gandhinagar,AMPLE SOLAR PVT LTD,ravi@amplesolar.in,9979792403,656,160
GUJARAT,Gandhinagar,AMPERE GREEN ENERGY,amperegreenenergy@gmail.com,9033116472,647,160
GUJARAT,Gandhinagar,BHAKTINANDAN POWER PVTLTD,bhaktinandanpower@gmail.com,9724031529,622,159
GUJARAT,Gandhinagar,AILIS ENERGY PRIVATE LIMITED,suryagujarat@ailisenergy.com,8401541048,567,146
