state,district,company_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Gir Somnath,RAICHURA ENERGY,raichuraenergy@gmail.com,9879152830,2312,666
GUJARAT,Gir Somnath,POWERSHINE ENERGY,powershineenergy1993@gmail.com,9723096888,1174,342
GUJARAT,Gir Somnath,EFFORTS SOLAR PRIVATE LIMITED (FORMERLY KNOWN AS EFFORTS ENTERPRISES),admin@effortsgroup.in,9067817117,1162,336
GUJARAT,Gir Somnath,OXEN ENERGIES,oxenenergies@gmail.com,8866699444,1034,308
GUJARAT,Gir Somnath,GREEN ENERGY - RAJKOT,greenenergy123@gmail.com,9428010202,896,270
GUJARAT,Gir Somnath,GREENERA ENERTECH PVT LTD,greenera.solarenergy@gmail.com,9427726620,731,205
GUJARAT,Gir Somnath,AVIRAT ENERGY PVT LTD,aviratenergy@gmail.com,9697443344,672,192
GUJARAT,Gir Somnath,KRISHIV ENTERPRISE,jevinpansuriya4@gmail.com,7359294060,603,184
GUJARAT,Gir Somnath,SATYAM SALES,kishanagroagencyamreli@gmail.com,9825360183,536,155
GUJARAT,Gir Somnath,GLOBAL SOLAR ENERGY,globalsolar99@gmail.com,8866190358,496,138
GUJARAT,Gir Somnath,PAHAL SOLAR EPC LLP,avinash@pahalsolar.com,9512323223,484,136
GUJARAT,Gir Somnath,LGM ENERGY AND INFRACON LLP,lgmenergyandinfraconllp@gmail.com,7574000906,422,121
GUJARAT,Gir Somnath,KARTAVY AGROTECH,kartavysolar@gmail.com,9426465233,438,120
GUJARAT,Gir Somnath,AUSTRALIAN PREMIUM SOLAR INDIA PVT LTD,systems@australianpremiumsolar.co.in,7966006600,400,117
GUJARAT,Gir Somnath,SAURASHTRA SOLAR SERVICES LLP,SaurashtraSolar.Gujrat@gmail.com,9925448033,370,108
GUJARAT,Gir Somnath,FATHUN RENEWABLE ENERGY (FORMERLY KNOWN AS KENVUE ENERGY),fathunrenewable@gmail.com,9898589612,340,95
GUJARAT,Gir Somnath,GREENTECH ENERGY,bhuvapiyush89@gmail.com,7990053035,330,94
GUJARAT,Gir Somnath,MARUTI SOLAR,marutisolar.bvn@gmail.com,9429292818,327,91
GUJARAT,Gir Somnath,INFINITY SOLAR - RAJKOT,infinitysolar2022@gmail.com,7201070799,283,82
GUJARAT,Gir Somnath,FERUS ENERGIES CO,info@ferusenergies.com,9913341342,277,77
GUJARAT,Gir Somnath,BELIANCE ENERGY INDIA PVT.LTD.,belianceenergy@gmail.com,8511651364,248,75
GUJARAT,Gir Somnath,MITRAYA ELECTRICAL,mitrayaelectrical@gmail.com,7016415834,255,74
GUJARAT,Gir Somnath,R. K. CONSTRUCTION,rkconstruction101@gmail.com,9106065865,244,72
GUJARAT,Gir Somnath,PARESH S. VAIDYA,parvaidya2012@gmail.com,9879529203,250,71
GUJARAT,Gir Somnath,BNG GREEN ENERGY SOLUTION,bng.greenenergy@gmail.com,9727777171,251,71
GUJARAT,Gir Somnath,KIRTAN MARKETING,kirtanmarketing@gmail.com,9714440026,225,63
GUJARAT,Gir Somnath,SOLARIUM GREEN ENERGY LIMITED,np@solariumenergy.in,9687133338,233,62
GUJARAT,Gir Somnath,FIONIX ELECTRIC COMPANY,fionixelectric2018@gmail.com,9714025565,239,62
GUJARAT,Gir Somnath,ARKAY ICONIC PRIVATE LIMITED,arkaysolar@gmail.com,8401236600,197,59
GUJARAT,Gir Somnath,RUDRA SOLAR ENERGY,info.rudrasolar@gmail.com,9427903084,202,58
GUJARAT,Gir Somnath,JJ PV SOLAR PRIVATE LIMITED,rajesh@jjpvsolar.com,9904809006,186,58
GUJARAT,Gir Somnath,SHREE RAM SOLAR RAJKOT,vikeshchovatiya@gmail.com,9898921527,185,56
