state,district,company_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Jamnagar,GLOBAL SOLAR SOLUTION,moxakboda111@gmail.com,8460820618,2978,886
GUJARAT,Jamnagar,SAMRUDDDHI ENTERPRISE,samruddhienterprise22@gmail.com,9033676399,3018,826
GUJARAT,Jamnagar,INFRAX INTERNATIONAL,info@infraxsolar.com,7778002780,2529,753
GUJARAT,Jamnagar,SHREE SURYA SOLAR SOLUTION,shreesurya2016@gmail.com,8000720006,2609,693
GUJARAT,Jamnagar,JIYAAN SOLAR COMPANY,jiyaansolar.co@gmail.com,8160645436,2386,640
GUJARAT,Jamnagar,SURYANCE SOLAR,suryancesolar@gmail.com,9664504655,1807,505
GUJARAT,Jamnagar,OXEN ENERGIES,oxenenergies@gmail.com,8866699444,1564,449
GUJARAT,Jamnagar,BHANU ENTERPRISES,akkothari1964@gmail.com,9263635946,1310,385
GUJARAT,Jamnagar,GREENERA ENERTECH PVT LTD,greenera.solarenergy@gmail.com,9427726620,1212,349
GUJARAT,Jamnagar,SHREEJI & SONS,shreejiandsolar2211@gmail.com,8140165509,1247,348
GUJARAT,Jamnagar,CAPTAIN POLYPLAST LIMITED,solar@captainpolyplast.in,9313925889,1094,326
GUJARAT,Jamnagar,POWERSHINE ENERGY,powershineenergy1993@gmail.com,9723096888,1047,317
GUJARAT,Jamnagar,ARIHAA SOLAR PVT LTD,ashish.arihaasolar@gmail.com,9825877888,1131,311
GUJARAT,Jamnagar,BRITI ENERGY,britienergy2021@gmail.com,8460227728,1108,301
GUJARAT,Jamnagar,RAJKOT E-BIKES AND SOLAR,rajkotebikesandsolar@gmail.com,8306020890,1049,300
GUJARAT,Jamnagar,INTIFY SOLAR PVT LTD,intifysolar@gmail.com,6358788735,1022,292
GUJARAT,Jamnagar,BHANU PV SOLAR PVT LTD,bhanupvsolarpvtltd@gmail.com,9510398989,962,277
GUJARAT,Jamnagar,GREEN SOLAR ENERGY,greensolarenergygse@gmail.com,8866566056,930,275
GUJARAT,Jamnagar,BELIANCE ENERGY INDIA PVT.LTD.,belianceenergy@gmail.com,8511651364,822,254
GUJARAT,Jamnagar,LGM ENERGY AND INFRACON LLP,lgmenergyandinfraconllp@gmail.com,7574000906,846,247
GUJARAT,Jamnagar,SANJEE ENTERPRISE,sanjee.enterprise@gmail.com,9157353735,850,238
GUJARAT,Jamnagar,MAHADEV SOLAR ENETERPRISE,mahadevsolarjamnagar@gmail.com,9978999939,806,230
GUJARAT,Jamnagar,THE SHIVSHAKTI ENTERPRISE,Shivshakti2688@gmail.com,9913418634,775,229
GUJARAT,Jamnagar,KRISHNA GREEN ENERGY,krishnagreenenergy18@gmail.com,9773285374,676,200
