state,district,company_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Junagadh,AVIRAT ENERGY PVT LTD,aviratenergy@gmail.com,9697443344,6944,2056
GUJARAT,Junagadh,GREEN WATT ENERGY,info@greenwattenergy.co.in,9913853055,2644,795
GUJARAT,Junagadh,MEGHAL POWER,meghalpower23@gmail.com,9712726390,2587,751
GUJARAT,Junagadh,POWERSHINE ENERGY,powershineenergy1993@gmail.com,9723096888,2361,695
GUJARAT,Junagadh,SHREEJI SOLAR & SERVICES,NILVADERA141@GMAIL.COM,9106331904,2107,637
GUJARAT,Junagadh,ANGEL ENGINEERING,angel.engineering11@gmail.com,9574066408,2059,610
GUJARAT,Junagadh,SHREE RAM SOLAR RAJKOT,vikeshchovatiya@gmail.com,9898921527,2031,588
GUJARAT,Junagadh,DHRUVA ENTERPRISE,dhruvaenterprise123@gmail.com,9978124597,1742,566
GUJARAT,Junagadh,KRISHIV ENTERPRISE,jevinpansuriya4@gmail.com,7359294060,1725,513
GUJARAT,Junagadh,GREENTECH ENERGY,bhuvapiyush89@gmail.com,7990053035,1729,498
GUJARAT,Junagadh,TITAN ENERGY,info@titanenergy.in,9054825825,1437,474
GUJARAT,Junagadh,SHREEJI ELECTRICAL - VISAVADAR,rajnik1011@gmail.com,8980042533,1524,472
GUJARAT,Junagadh,R. K. CONSTRUCTION,rkconstruction101@gmail.com,9106065865,1584,468
GUJARAT,Junagadh,BELIANCE ENERGY INDIA PVT.LTD.,belianceenergy@gmail.com,8511651364,1563,450
GUJARAT,Junagadh,HEAVEN GREEN ENERGY LTD. (FORMERLY KNOWN AS HEAVEN SOLAR ENERGY PVT LTD),heavensolarenergy@gmail.com,9979532167,1471,440
GUJARAT,Junagadh,RAGHURAM SOLAR POWER GREEN ENERGY LLP,raghuramsolar9@gmail.com,7575019877,1476,431
GUJARAT,Junagadh,BHANU ENTERPRISES,akkothari1964@gmail.com,9263635946,1342,420
GUJARAT,Junagadh,EMPYREAL SOLAR,liaison@empyreAlsolar.in,9099526261,1252,384
GUJARAT,Junagadh,INOX SOLAR ENERGY,inoxsolarenergy@gmail.com,9904604047,1286,380
GUJARAT,Junagadh,SUNLAND SOLAR ENERGY,sunlandsolarenergy@gmail.com,8141810505,1204,343
GUJARAT,Junagadh,ELIOS ENERGY,info@eliosenergy.co.in,7016192219,1092,333
