state,district,company_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Kachchh,SHREE SOLAR POWER,nileshsorthiya2@gmail.com,9727620417,5037,1247
GUJARAT,Kachchh,V S INDUSTRIES,info@vsindustry.in,6354165443,4527,1230
GUJARAT,Kachchh,WHITESUN GREEN ENERGY PRIVATE LIMITED,rakesh.bhudia14@hotmail.com,8511740671,3800,1124
GUJARAT,Kachchh,RADIANT GREENS SOLAR,info@radiantgreens.in,8140316334,3774,981
GUJARAT,Kachchh,SHREE KRISHNA ENERGY,shreekrishna.energy@gmail.com,9979559334,3031,800
GUJARAT,Kachchh,CHEHAR ENERGY,cheharenergy@gmail.com,9998077796,3020,746
GUJARAT,Kachchh,JAY ENTERPRISE,solosunenergy.office@gmail.com,9879516380,2294,603
GUJARAT,Kachchh,GREEN ENERGY - RAJKOT,greenenergy123@gmail.com,9428010202,1789,453
GUJARAT,Kachchh,URJA ASSOCIATES,chetan.gusai@urjagroups.com,8905030726,1636,447
GUJARAT,Kachchh,KUTCH SOLAR PVT LTD,kutchsolarpvtltd@gmail.com,8980044344,1942,447
GUJARAT,Kachchh,SOLAR ACE,project.solarace@gmail.com,9909037803,974,255
GUJARAT,Kachchh,AVIRAT ENERGY PVT LTD,aviratenergy@gmail.com,9697443344,967,248
GUJARAT,Kachchh,JAIMAX SUNBIM PVT LTD,jaimaxsunbim@gmail.com,8980024055,905,245
GUJARAT,Kachchh,WATERSUN ELECTRICAL SOLUTIONS PVT LTD,watersunelectrical@gmail.com,7016589864,984,242
GUJARAT,Kachchh,SUNPOWER EPC PVT LTD,operations@sunpowerenergy.in,9099277377,1092,241
GUJARAT,Kachchh,SUNPOWER ENERGY SYSTEMS,sunpowerskutch@gmail.com,9099277377,963,240
GUJARAT,Kachchh,AUSTRALIAN PREMIUM SOLAR INDIA PVT LTD,systems@australianpremiumsolar.co.in,7966006600,844,234
GUJARAT,Kachchh,STANDARD TRADING,standardtrading1999@gmail.com,9426666133,1047,206
GUJARAT,Kachchh,DIVINE TECHNO SOLAR INDIA LLP,divinetechnosolar@gmail.com,9825229205,897,200
GUJARAT,Kachchh,CITIZEN SOLAR PVT. LTD.,tsjain@citizensolar.com,9825144499,672,184
GUJARAT,Kachchh,POWERSHINE ENERGY,powershineenergy1993@gmail.com,9723096888,624,175
GUJARAT,Kachchh,TECHNO ELECTRONICS,sales@technopower.co.in,9825236894,630,170
GUJARAT,Kachchh,AAI SHREE KHODIYAR FEBRICATION,ASKF2024@GMAIL.COM,9725001682,666,164
GUJARAT,Kachchh,BHANU PV SOLAR PVT LTD,bhanupvsolarpvtltd@gmail.com,9510398989,614,162
GUJARAT,Kachchh,PDF ENGINEERS PRIVATE LIMITED,project2.pepl@gmail.com,8803910391,669,148
GUJARAT,Kachchh,KUTCH SOLAR ENERGY,kutchsolarenergy@gmail.com,9879603242,537,136
GUJARAT,Kachchh,BHANU ENTERPRISES,akkothari1964@gmail.com,9263635946,424,120
GUJARAT,Kachchh,HARSH COMMUNICATION,harshcomm.solar@gmail.com,9137373727,419,114
GUJARAT,Kachchh,SOLARIUM GREEN ENERGY LIMITED,np@solariumenergy.in,9687133338,403,110
GUJARAT,Kachchh,CAPTAIN POLYPLAST LIMITED,solar@captainpolyplast.in,9313925889,351,103
GUJARAT,Kachchh,WHITEDESERT POWER PROJECTS PVT. LTD.,wdplnkt@gmail.com,9427760723,386,96
GUJARAT,Kachchh,KUTCH SOLAR AND EV,kutchsolarev@gmail.com,9725436751,364,91
GUJARAT,Kachchh,FLORIAN VENTURE PVT.LTD.,florianventurepvt.ltd@gmail.com,9081684444,356,91
GUJARAT,Kachchh,HITECH SOLAR,jayesh@hitechsolar.in,7600059073,406,88
GUJARAT,Kachchh,INFRAX INTERNATIONAL,info@infraxsolar.com,7778002780,317,83
GUJARAT,Kachchh,EVOTAR TECHNOLOGIES PRIVATE LIMITED,info@evotartech.com,6358999573,318,79
GUJARAT,Kachchh,SURYAKAMAL INFRA PVT.LTD.,sales@suryakamalinfra.com,9727756866,290,77
GUJARAT,Kachchh,MAA MOGAL ENTERPRISE,maamogale1999@gmail.com,8401237990,299,77
GUJARAT,Kachchh,AMRUT ENGINEERS,amrutengineersbhuj@gmail.com,9033492711,269,73
GUJARAT,Kachchh,AARISH POWER,harshpatel5268@gmail.com,7600621060,298,73
GUJARAT,Kachchh,SURYANCE SOLAR,suryancesolar@gmail.com,9664504655,285,70
