state,district,company_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Kheda,PETLAD SOJITRA TALUKA SAURAURJA UTPADAK SAHKARI MANDALI LIMITED,pssumandali@gmail.com,8140968999,2416,620
GUJARAT,Kheda,PATWA MARKETING,nigam82002@yahoo.co.in,9825622939,2315,601
GUJARAT,Kheda,SOLARIUM GREEN ENERGY LIMITED,np@solariumenergy.in,9687133338,2128,524
GUJARAT,Kheda,UNITY ENERGY SOLUTION,unityenergysolution@gmail.com,9099094027,1711,449
GUJARAT,Kheda,GIMS ENERGY PRIVATE LIMITED (FORMERLY KNOWN AS GUPTA INDUSTRIAL MAINTENANCE SERVICES PVT.LTD),yash@gimsindia.com,9879806111,1750,441
GUJARAT,Kheda,GENESIS ELECTRICAL,genesiselectricalindia@gmail.com,8200480623,1550,404
GUJARAT,Kheda,SHREEJI SOLAR ENERGY SYSTEMS,snpatel2605@gmail.com,9712914272,1412,399
GUJARAT,Kheda,RK SUN POWER LLP,rksunpowertrading@gmail.com,9913785000,1239,345
GUJARAT,Kheda,KHUSHI IRRIGATION AND SOLAR,khushi.irrigationandsolar@gmail.com,9638370303,1208,336
GUJARAT,Kheda,SUNFREE ENERGY,sunfreeenergy2017@gmail.com,7600002358,1075,254
GUJARAT,Kheda,OM ELECTRICALS SERVICES,omelectricals2104@gmail.com,9998004891,751,191
GUJARAT,Kheda,CORWIND RENERGY LLP,corwind.renergy@gmail.com,9428490118,746,188
GUJARAT,Kheda,KRISHA SOLAR & AGRO INDUSTRIES,krishasolarandagro21@gmail.com,9574856582,675,180
GUJARAT,Kheda,JALARK SOLAR SOLUTIONS OPC PVT LTD,infojalark@gmail.com,9426661857,564,178
GUJARAT,Kheda,PRAGATI INDUSTRIES,pragatipv8@gmail.com,9428799552,711,176
GUJARAT,Kheda,VARUN ENGINEERING,varunpatel2027@gmail.com,9727854101,600,169
GUJARAT,Kheda,ALAYNA GREEN ENERGY,taharkhantna@gmail.com,6353439659,634,160
GUJARAT,Kheda,AILIS ENERGY PRIVATE LIMITED,suryagujarat@ailisenergy.com,8401541048,558,152
GUJARAT,Kheda,EARTH SOLAR,earthsollar@gmail.com,9879911777,547,137
GUJARAT,Kheda,SOLAR SMART PVT LTD,solarsmart2021@gmail.com,7284000580,481,132
GUJARAT,Kheda,URJASTROT PRIVATE LIMITED,urjastrotenterprise@gmail.com,7621010012,442,122
GUJARAT,Kheda,HITECH SOLAR,jayesh@hitechsolar.in,7600059073,436,120
GUJARAT,Kheda,AUSTRALIAN PREMIUM SOLAR INDIA PVT LTD,systems@australianpremiumsolar.co.in,7966006600,418,120
