state,district,company_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,Mahesana,SHREE UMIYA CORPORATION,shreeumiyacorp@gmail.com,8866731185,3205,917
GUJARAT,Mahesana,SKY POWER,skypowersvp@gmail.com,9723070267,2477,734
GUJARAT,Mahesana,ELLENCE ENERGY LLP,dhaval@ellenceenergy.com,9054073345,2188,702
GUJARAT,Mahesana,MAHADEV SALES AGENCY,mahadevsolarproject@gmail.com,7393939139,2385,694
GUJARAT,Mahesana,AUSTRALIAN PREMIUM SOLAR INDIA PVT LTD,systems@australianpremiumsolar.co.in,7966006600,2185,654
GUJARAT,Mahesana,SHREE KHODIYAR REFRIGERATION SALES AND SERVICE,shreekhodiyarref85@gmail.com,9825289293,2275,648
GUJARAT,Mahesana,SUNSPOT,msn.sunspot@gmail.com,6356810701,2116,581
GUJARAT,Mahesana,FUSION TECHNOLOGIES,fusiontech025@gmail.com,8200697067,1794,513
GUJARAT,Mahesana,IDEAL ELECTRICAL,idealelectric7@gmail.com,9638324167,1595,462
GUJARAT,Mahesana,NEOCENT SOLAR SYSTEM LLP,m.neocent@gmail.com,9974710486,1324,460
GUJARAT,Mahesana,DGR ENERGY PRIVATE LIMITED,dgrenergygroup@gmail.com,8128603082,1556,431
GUJARAT,Mahesana,DELUXE ENTERPRISE,infodeluxeenterprise@gmail.com,9429040663,1158,328
GUJARAT,Mahesana,SOLAR ACE,project.solarace@gmail.com,9909037803,1050,296
GUJARAT,Mahesana,SUNLIGHT GREEN ENERGY,sunlightgreenmeh@gmail.com,8460043385,1027,295
GUJARAT,Mahesana,SOLAR EARTH RENEWABLES PRIVATE LIMITED,ser@solarearth.in,7990378370,941,283
GUJARAT,Mahesana,SNETRIC POWER,snetricpower@gmail.com,8487013107,983,283
GUJARAT,Mahesana,SANELITE SOLAR PVT LTD,bhavesh.modi@sanelitesolar.com,9374021722,925,272
GUJARAT,Mahesana,SHIVAM SOLAR,solar.shivam2020@gmail.com,7575007551,926,258
GUJARAT,Mahesana,EFARM INTERNATIONAL PRIVATE LIMITED,info@efarmenergy.com,9723610012,858,254
GUJARAT,Mahesana,SATYASARA ENERGY PRIVATE LIMITED,satyasaraenergy@gmail.com,9909365808,871,249
GUJARAT,Mahesana,MAHAVEER ENTRPRISE,me.solarmaster@gmail.com,7878647771,886,245
GUJARAT,Mahesana,HELIOSNATURAL RENEWTECH PRIVATE LIMITED,marketing@heliosnatural.com,7600052305,868,245
GUJARAT,Mahesana,WATERSUN ELECTRICAL SOLUTIONS PVT LTD,watersunelectrical@gmail.com,7016589864,721,240
GUJARAT,Mahesana,SAVALIYA BROTHERS,SB.SAVALIYABROTHERS@GMAIL.COM,9687651107,875,233
GUJARAT,Mahesana,R V SOLAR,rvsolarvijapur@gmail.com,9726801070,771,232
GUJARAT,Mahesana,SOLINE SOLAR PRIVATE LIMITED,info@soline.in,9898535056,843,227
GUJARAT,Mahesana,SHRI SAI ELECTRICAL,rooftop@shrisaielectrical.co.in,6353970979,770,225
GUJARAT,Mahesana,KSQUARE ENERGY PVT LTD,projects@ksquareenergy.com,9725218150,814,223
GUJARAT,Mahesana,SOLAR EARTH,solarearth7@gmail.com,7990378370,758,222
GUJARAT,Mahesana,GANESH CORPORATION,ganeshcorporation3003@gmail.com,9979856236,789,219
GUJARAT,Mahesana,AHAD SOLARTECH,ahad.solartech@gmail.com,9724259440,756,218
GUJARAT,Mahesana,SUNROOF ELECTRICAL ENERGY,sunroofenergy100@gmail.com,9687893989,755,213
GUJARAT,Mahesana,P C LINK ENTERPRISE,pclinkenterprise@gmail.com,8238053941,703,211
GUJARAT,Mahesana,AVDHOOT ELECTRICAL INFRA,avdhootelectrical.infra@gmail.com,9586547798,770,210
GUJARAT,Mahesana,SURYAM ENERGY,dhavalpatel7037@gmail.com,8320698043,672,207
GUJARAT,Mahesana,R K ENTERPRICE,jayswal.ravi@ymail.com,9722252875,726,207
GUJARAT,Mahesana,UMA POWER SOLUTIONS,umapowersolution@gmail.com,9638953281,744,206
GUJARAT,Mahesana,TARA SOLAR ENERGY,tara.solar.2111@gmail.com,9408966600,699,203
GUJARAT,Mahesana,KHODIYAR ELECTRICAL (VISNAGAR),khodiyar.electrical210@gmail.com,9979632702,691,202
GUJARAT,Mahesana,SOLARIUM GREEN ENERGY LIMITED,np@solariumenergy.in,9687133338,675,193
GUJARAT,Mahesana,ADINSON ENERGY LLP,adinsonenergy2022@gmail.com,9724272728,657,191
GUJARAT,Mahesana,GUJARAT ENERGY,info@gujaratenergy.in,9723431234,641,188
GUJARAT,Mahesana,ELCON POWER,elconpower@outlook.com,8200061494,670,187
GUJARAT,Mahesana,A J INFRATECH AND SOLAR,aryanpatelvisnagar@gmail.com,9429083193,592,186
GUJARAT,Mahesana,MAPSTECH SYSTEMS,mapstechsystems@gmail.com,9998854510,671,181
GUJARAT,Mahesana,GURUKRUPA SOLAR AND AGRO INDUSTRIES,vishal@vishal-group.com,9328854525,618,179
GUJARAT,Mahesana,SOLAR SMART PVT LTD,solarsmart2021@gmail.com,7284000580,527,166
GUJARAT,Mahesana,LIGHTFLOW INDIA SOLAR,lightflowindia@gmail.com,8000835616,531,160
GUJARAT,Mahesana,ARK SOLAR ENERGY SOLUTIONS,arksolarenergy3@gmail.com,7874463444,559,158
GUJARAT,Mahesana,SKY WINGS SOLAR ENERGY,skywingssolar@gmail.com,9974839830,537,155
GUJARAT,Mahesana,V POWER SOLAR SERVICES,vpowersolarservices@gmail.com,9904254440,582,153
