state,district,company_name,emails,contact_numbers,total_installed_capacity_kwp,no_of_installations
GUJARAT,chhotaudepur,STANDARD ENGINEERS & CONTRACTORS,standardelectricals7177@gmail.com,8140080726,373,86
GUJARAT,chhotaudepur,ARIS SOLAR,arissolartech@gmail.com,9662336115,213,56
GUJARAT,chhotaudepur,JIYANSH ENERGY SOLUTIONS,mvp.jes.24@gmail.com,9924700866,165,41
GUJARAT,chhotaudepur,REGAL ELECTRICALS,balochvikarali60@gmail.com,8141028100,107,26
GUJARAT,chhotaudepur,BHARAT ENERGY,bharatenergy8889@gmail.com,9714131394,89,21
GUJARAT,chhotaudepur,OCEANIC POWER ENGINEERS PRIVATE LIMITED,oceanicpower.in@gmail.com,7778065600,83,20
GUJARAT,chhotaudepur,SURYASE ENERGY,suryaseenergy@gmail.com,9662047390,64,19
GUJARAT,chhotaudepur,MECPOWER SOLUTIONS LIMITED,tender@mecpower.in,9328911577,66,19
GUJARAT,chhotaudepur,SKYVIEW POWER,skyviewpower17@gmail.com,8140055305,60,16
GUJARAT,chhotaudepur,JAGDAMBA TRADERS,jagdambatraders.padra@gmail.com,7284841054,58,16
GUJARAT,chhotaudepur,ENWATECH SOLUTION PVT.LTD,enwatechsolutionpvtltd@gmail.com,9427269089,43,11
GUJARAT,chhotaudepur,EARTH WISE ENERGIES,earthwiseenergies@gmail.com,9033330463,44,11
GUJARAT,chhotaudepur,SUNCELL SOLAR LLP,suncellsolarenergy@gmail.com,9512668884,39,10
GUJARAT,chhotaudepur,LIGHTRIC POWER SOLUTION,lightricpower@gmail.com,6355768984,29,8
GUJARAT,chhotaudepur,APS ROOFTOP SOLAR PRIVATE LIMITED,info@apsrooftopsolar.co.in,7966009900,29,8
GUJARAT,chhotaudepur,MJR INDUSTRIES PRIVATE LIMITED,mjrindustriespvtltd@gmail.com,9426998993,27,7
GUJARAT,chhotaudepur,MEERASUN ENERGY,meerasunenergy@gmail.com,9016680239,23,7
GUJARAT,chhotaudepur,SHIV TRADERS,shivtraders7233@gmail.com,9998820863,19,6
GUJARAT,chhotaudepur,AC DC PROJECTS,acdcprojects1@gmail.com,8200193182,26,6
GUJARAT,chhotaudepur,VEDANTA SOLAR,info.vedantasolar@gmail.com,8140233119,18,5
GUJARAT,chhotaudepur,SURYAKAMAL INFRA PVT.LTD.,sales@suryakamalinfra.com,9727756866,22,5
GUJARAT,chhotaudepur,SOLAR CLEAN ENERGY,socleanenergy@gmail.com,6354418196,17,5
GUJARAT,chhotaudepur,POWER TECH ENERGY SOLUTUIONS,epc@ptes.in,6357502081,18,5
GUJARAT,chhotaudepur,M AND P POWER SOLUTIONS,mnppowersolutions2021@gmail.com,9537006733,22,5
GUJARAT,chhotaudepur,KSQUARE ENERGY PVT LTD,projects@ksquareenergy.com,9725218150,19,5
GUJARAT,chhotaudepur,INFRAX RENEWABLE LIMITED,pmsg@infraxrenewable.com,9033260985,16,5
GUJARAT,chhotaudepur,SUNBEAM SOLAR ENERGY,ceo.sunbeamsolarenergy@gmail.com,9662412871,13,4
GUJARAT,chhotaudepur,SHREE GANESH ELECTRICALS,shreeganesh6857@gmail.com,9898956262,13,4
GUJARAT,chhotaudepur,NYALKARAN RENEWABLE ENERGY,nyalkaranrenewableenergy@gmail.com,9998473073,14,4
GUJARAT,chhotaudepur,MAHEK ENTERPRISE,mahekenterprise02@gmail.com,9723128039,16,4
GUJARAT,chhotaudepur,FRELIT ENERGY PRIVATE LIMITED,frelitenergy@gmail.com,9512700130,16,4
GUJARAT,chhotaudepur,CAPTAIN POLYPLAST LIMITED,solar@captainpolyplast.in,9313925889,13,4
GUJARAT,chhotaudepur,BHANU PV SOLAR PVT LTD,bhanupvsolarpvtltd@gmail.com,9510398989,16,4
GUJARAT,chhotaudepur,YELLOW RAY SOLAR,yellowraysolar@gmail.com,9427443581,9,3
GUJARAT,chhotaudepur,SUNSAFE INFRA PRIVATE LIMITED,sunsafe.np@gmail.com,7227050091,10,3
GUJARAT,chhotaudepur,SUNBUY RENEWABLES PVT LTD,darshan@sunbuy.in,9328281611,13,3
GUJARAT,chhotaudepur,SOLMECH ENERGY,solmechenergy@gmail.com,9998930960,15,3
GUJARAT,chhotaudepur,SHREEJI ENTERPRISE - MANJALPUR,shreejienergy844@gmail.com,7041803421,12,3
GUJARAT,chhotaudepur,SAHJANAND ENTERPRISE,sahjanandeprise@gmail.com,9737671777,9,3
GUJARAT,chhotaudepur,RUDRASOL ENERGY PRIVATE LIMITED,rudrasolenergy@gmail.com,9408397604,9,3
GUJARAT,chhotaudepur,MADHAV ENERGY SOLUTION,info.madhavenergy@gmail.com,9408354018,10,3
GUJARAT,chhotaudepur,KARMAA SOLAR LLP,dipen@karmaasolar.com,9724666479,11,3
GUJARAT,chhotaudepur,GREEN ENERGY - RAJKOT,greenenergy123@gmail.com,9428010202,14,3
GUJARAT,chhotaudepur,EFFORTS SOLAR PRIVATE LIMITED (FORMERLY KNOWN AS EFFORTS ENTERPRISES),admin@effortsgroup.in,9067817117,14,3
GUJARAT,chhotaudepur,DHVANI ENERGY,dhvanisolar@gmail.com,9537928064,11,3
GUJARAT,chhotaudepur,BHASKAR SOLAR ENTERPRISE,info.bhaskarsolar@gmail.com,8980451231,9,3
GUJARAT,chhotaudepur,AXIS ENERTECH,meet@axisenertech.com,9428028009,7,3
GUJARAT,chhotaudepur,ZAVICH INFRASTRUCTURE AND POWER PVT LTD,zavichinfra@gmail.com,9106129608,6,2
GUJARAT,chhotaudepur,TECHNOCELL INDUSTRIAL SERVICES,skg23aqua@yahoo.in,9979348446,9,2
