state,district,school_name,School Management,Address,Class,Edu. District,Edu. Block,LGD Block,LGD Panchayat,LGD Village,LGD Ward,class,School Type,School Category,School Location,School Type,State,Urban Local Body
GUJARAT,AHMEDABAD,48 STAR INTERNATIONAL SCHOOL,5-Pvt. Unaided (Recognized),"SAIJPUR ROAD, SAIJPUR,AHMEDABAD",1 To 5,Ahmedabad,Amc,NA,,,"Kubernagar, Ahmedabad (M.Corp.) Ward No. 14",,,1-Primary,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,AADARSH VIDHYALAYA PRI SCHOOL,5-Pvt. Unaided (Recognized),"saiyadwado, AT.RAMOL, TA-DASKROI",1 To 8,Ahmedabad,Amc,NA,,,"Ramol Hathijan, Ahmedabad (M.Corp.) Ward No. 48",,,2-Primary with Upper Primary,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,AADHARSHILA SCHOOL (ENG),5-Pvt. Unaided (Recognized),"10/4, CHOSAR, PO-GAMDI, TA-DASKROI, DIST-AHMEDABAD",,Ahmedabad,Dascroi,Sanand,Chosar,Chosar,,1 To 10,3-Co-educational,6-Pr. Up Pr. and Secondary Only,1-Rural,,Gujarat,
GUJARAT,AHMEDABAD,AADHARSHILA SCHOOL (GUJ),5-Pvt. Unaided (Recognized),"10/4, CHOSAR, PO-GAMDI, TA-DASKROI, DIST-AHMEDABAD",,Ahmedabad,Dascroi,Sanand,Chosar,Chosar,,1 To 12,3-Co-educational,3-Pr. with Up.Pr. Sec. and H.Sec.,1-Rural,,Gujarat,
GUJARAT,AHMEDABAD,AADINATH VIDYALAY PRI SCHOOL,5-Pvt. Unaided (Recognized),110 GIRIRRAJNAGAR SOCIETY ODHAV,1 To 8,Ahmedabad,Amc,NA,,,"Odhav, Ahmedabad (M.Corp.) Ward No. 40",,,2-Primary with Upper Primary,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,AAKAR PRI. SCHOOL,5-Pvt. Unaided (Recognized),saydwaid vatva ahmedabad,1 To 8,Ahmedabad,Amc,NA,,,"Vatava, Ahmedabad (M.Corp.) Ward No. 47",,,2-Primary with Upper Primary,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,AALOK PRATHMIC SCHOOL,5-Pvt. Unaided (Recognized),rewabhaini chali gomtipur,1 To 8,Ahmedabad,Amc,NA,,,"Gomtipur, Ahmedabad (M.Corp.) Ward No. 38",,,2-Primary with Upper Primary,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,AAMIN HINDI VIDHYALAY,5-Pvt. Unaided (Recognized),"APP.AADARSH SOCIETY, D-CEBIN, SABARMATI , AHMEDABAD",,Ahmedabad,Amc,NA,,,"Ranip, Ahmedabad (M.Corp.) Ward No. 5",1 To 8,3-Co-educational,2-Primary with Upper Primary,2-Urban,,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,AANAND VIDHYALAY,5-Pvt. Unaided (Recognized),61VIJAY LAXMI SOCIETY BEHRAMPURA AHMEDABAD,,Ahmedabad,Amc,NA,,,"Baherampura, Ahmedabad (M.Corp.) Ward No. 35",1 To 8,3-Co-educational,2-Primary with Upper Primary,2-Urban,,Gujarat,Ahmadabad-Municipal Corporations
GUJARAT,AHMEDABAD,AANGAN PUBLIC SCHOOL,5-Pvt. Unaided (Recognized),"bapunagar, ahmedabad",1 To 8,Ahmedabad,Amc,NA,,,"Bapurnagar, Ahmedabad (M.Corp.) Ward No. 26",,,2-Primary with Upper Primary,2-Urban,3-Co-educational,Gujarat,Ahmadabad-Municipal Corporations
